Season,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2013-2014,Niklas Backstrom,MIN,G,20.9,22.4,11.9,94.0,6.0,32.8,43.3,73.1,13.4,23.9,6.0,26.9,49.3,54,53,60,5,64,46,39,19,57,50,62,49,35,67,Backup,21.0,1094.1166666666666,0.8992673992673993,3.0161317348850676,45.93376038908913,55.0,8473404,G,74.0,192.0,1978-02-13,FIN,,,,L,5,11,2,0,35,"[6, 51, 50, 3, 25]","[8, 71, 69, 7, 28]","[48, 6, 13, 17, 26]","['MIN', 'MIN', 'MIN', 'MIN', 'MIN']"
2013-2014,Ondrej Pavelec,WPG,G,29.9,32.8,41.8,46.3,67.2,25.4,23.9,17.9,38.8,40.3,20.9,53.7,94.0,48,46,40,37,23,51,52,56,40,39,52,31,5,67,Starter,57.0,3247.9666666666667,0.900851581508516,3.0111146460862694,153.44981160129677,163.0,8471715,G,75.0,212.0,1987-08-31,CZE,2005.0,2.0,41.0,L,22,26,7,1,26,"[31, 80, 81, 42, 26]","[13, 91, 75, 40, 22]","[85, 16, 51, 42, 37]","['ATL', 'ATL', 'WPG', 'WPG', 'WPG']"
2013-2014,Pekka Rinne,NSH,G,13.4,16.4,43.3,73.1,28.4,4.5,100.0,89.6,26.9,32.8,13.4,3.0,61.2,59,57,39,19,49,65,1,8,48,44,57,63,27,67,Backup,24.0,1367.5666666666666,0.9023255813953488,2.7640334413922543,47.55495763699116,63.0,8471469,G,77.0,217.0,1982-11-03,FIN,2004.0,8.0,258.0,L,10,10,3,2,30,"[66, 96, 58, 45, 1]","[75, 85, 46, 61, 1]","[26, 98, 70, 10, 49]","['NSH', 'NSH', 'NSH', 'NSH', 'NSH']"
2013-2014,Peter Budaj,MTL,G,35.8,34.3,55.2,85.1,58.2,17.9,49.3,68.7,19.4,59.7,40.3,67.2,7.5,44,45,31,11,29,56,35,22,53,26,39,22,63,67,Backup,24.0,1338.2833333333333,0.9089430894308944,2.510679103827042,54.01078340973488,56.0,8469514,G,73.0,196.0,1982-09-18,SVK,2001.0,2.0,63.0,L,10,8,3,1,30,"[38, 14, 44, 24, 46]","[61, 24, 53, 24, 41]","[15, 3, 43, 61, 55]","['COL', 'COL', 'MTL', 'MTL', 'MTL']"
2013-2014,Philipp Grubauer,WSH,G,59.7,31.3,98.5,100.0,74.6,7.5,56.7,58.2,79.1,83.6,65.7,70.1,1.5,28,47,2,1,18,63,30,29,14,10,22,20,67,67,Backup,17.0,883.3833333333333,0.9253731343283582,2.3772239307209024,36.73382119658155,35.0,8475831,G,73.0,188.0,1991-11-25,DEU,2010.0,4.0,112.0,L,6,5,5,0,21,"[None, None, None, None, 55]","[None, None, None, None, 32]","[None, None, None, None, 94]","[None, None, None, None, 'WSH']"
2013-2014,Ray Emery,PHI,G,43.3,41.8,68.7,25.4,70.1,47.8,41.8,32.8,65.7,55.2,35.8,38.8,28.4,39,40,22,51,21,36,40,46,23,29,42,41,49,67,Backup,28.0,1398.3166666666666,0.9066305818673884,2.9607027497348,67.12049850408981,69.0,8469548,G,74.0,196.0,1982-09-28,CAN,2001.0,4.0,99.0,L,9,12,2,2,30,"[58, None, 34, 68, 43]","[83, None, 8, 63, 50]","[6, None, 94, 66, 41]","['PHI', None, 'CHI', 'CHI', 'PHI']"
2013-2014,Reto Berra,COL,G,6.0,7.5,23.9,29.9,1.5,31.3,97.0,47.8,1.5,1.5,100.0,92.5,46.3,64,63,52,48,67,47,3,36,65,65,1,5,37,67,Backup,31.0,1720.2333333333331,0.8926829268292683,3.0693510570271476,69.69597117811242,88.0,8473499,G,76.0,218.0,1987-01-03,CHE,2006.0,4.0,106.0,L,9,18,3,0,26,"[None, None, None, None, 10]","[None, None, None, None, 11]","[None, None, None, None, 29]","[None, None, None, None, 'COL']"
2013-2014,Roberto Luongo,FLA,G,55.2,71.6,10.4,7.5,85.1,52.2,26.9,44.8,25.4,13.4,91.0,85.1,73.1,31,20,61,63,11,33,50,38,49,57,7,10,19,67,Starter,56.0,3222.3,0.918867924528302,2.4020109859417182,130.87482991503455,129.0,8466141,G,75.0,215.0,1979-04-04,CAN,1997.0,1.0,4.0,L,25,23,7,4,34,"[71, 87, 65, 31, 67]","[80, 93, 81, 43, 76]","[25, 66, 22, 22, 17]","['VAN', 'VAN', 'VAN', 'VAN', 'FLA']"
2013-2014,Robin Lehner,OTT,G,41.8,29.9,92.5,80.6,20.9,46.3,47.8,13.4,43.3,98.5,88.1,52.2,29.9,40,48,6,14,54,37,36,59,37,2,9,32,48,67,Tandem (1B),36.0,1922.1666666666667,0.9132340052585451,3.090262724356195,94.09311251420225,99.0,8475215,G,76.0,250.0,1991-07-24,SWE,2009.0,2.0,46.0,L,12,15,6,1,22,"[None, None, None, 77, 37]","[None, None, None, 54, 23]","[None, None, None, 91, 77]","[None, None, None, 'OTT', 'OTT']"
2013-2014,Ryan Miller,STL,G,56.7,44.8,74.6,89.6,61.2,26.9,67.2,28.4,22.4,10.4,86.6,82.1,89.6,30,38,18,8,27,50,23,49,51,59,10,12,8,67,Starter,59.0,3500.2833333333333,0.919624217118998,2.6397863030135658,155.02667576660207,154.0,8468011,G,74.0,170.0,1980-07-17,USA,1999.0,5.0,138.0,L,25,30,4,1,33,"[96, 69, 56, 80, 44]","[86, 62, 70, 78, 29]","[100, 85, 19, 70, 91]","['BUF', 'BUF', 'BUF', 'BUF', 'STL']"
2013-2014,Scott Clemmensen,FLA,G,19.4,25.4,4.5,70.1,46.3,14.9,32.8,29.9,28.4,28.4,11.9,4.5,11.9,55,51,65,21,37,58,46,48,47,47,58,62,60,67,Backup,17.0,914.1833333333332,0.8964757709251101,3.084720424422527,39.87515883428938,47.0,8466339,G,74.0,200.0,1977-07-23,USA,1997.0,8.0,215.0,L,6,7,1,0,36,"[41, 33, 31, 8, 22]","[33, 27, 27, 5, 44]","[60, 62, 44, 35, 3]","['FLA', 'FLA', 'FLA', 'FLA', 'FLA']"
2013-2014,Semyon Varlamov,COL,G,97.0,94.0,83.6,52.2,68.7,64.2,4.5,25.4,77.6,79.1,59.7,65.7,88.1,3,5,12,33,22,25,65,51,15,13,26,23,9,67,Starter,63.0,3619.766666666667,0.9278048780487804,2.453196799057029,167.22232005690418,148.0,8473575,G,74.0,201.0,1988-04-27,RUS,2006.0,1.0,23.0,L,41,14,6,2,25,"[51, 75, 74, 54, 100]","[81, 80, 84, 31, 98]","[1, 45, 29, 86, 89]","['WSH', 'WSH', 'COL', 'COL', 'COL']"
2013-2014,Sergei Bobrovsky,CBJ,G,76.1,73.1,73.1,68.7,44.8,70.1,44.8,59.7,64.2,56.7,37.3,25.4,76.1,17,19,19,22,38,21,38,28,24,28,41,50,17,67,Starter,58.0,3239.4333333333334,0.9228958210712184,2.426350287601741,123.5085075670215,131.0,8475683,G,74.0,180.0,1988-09-20,RUS,,,,L,32,20,5,5,24,"[None, 90, 41, 93, 73]","[None, 90, 56, 94, 52]","[None, 87, 37, 64, 86]","[None, 'PHI', 'PHI', 'CBJ', 'CBJ']"
2013-2014,Steve Mason,PHI,G,17.9,17.9,44.8,22.4,31.3,22.4,19.4,41.8,20.9,20.9,64.2,46.3,74.6,56,56,38,53,47,53,55,40,52,52,23,36,18,67,Starter,61.0,3485.5833333333335,0.9171901770416904,2.4959954096636143,137.32503546328957,145.0,8473461,G,76.0,210.0,1988-05-29,CAN,2006.0,3.0,69.0,R,33,18,7,4,25,"[1, 12, 1, 43, 40]","[6, 14, 1, 19, 31]","[18, 17, 1, 87, 79]","['CBJ', 'CBJ', 'CBJ', 'PHI', 'PHI']"
2013-2014,Thomas Greiss,PHX,G,58.2,68.7,34.3,4.5,91.0,95.5,55.2,88.1,37.3,52.2,32.8,61.2,22.4,29,22,45,65,7,4,31,9,41,31,44,26,53,67,Backup,25.0,1292.3333333333333,0.9201277955271564,2.3213825122517413,49.95416980502395,50.0,8471306,G,74.0,219.0,1986-01-29,DEU,2004.0,3.0,94.0,L,10,8,5,2,27,"[55, None, 25, None, 68]","[48, None, 37, None, 71]","[51, None, 20, None, 40]","['SJS', None, 'SJS', None, 'PHX']"
2013-2014,Tim Thomas,DAL,G,1.5,1.5,22.4,50.7,22.4,11.9,20.9,46.3,3.0,3.0,97.0,88.1,82.1,67,67,53,34,53,60,54,37,64,64,3,8,13,67,Tandem (1A),48.0,2581.4333333333334,0.9079136690647482,2.9750913575145588,112.90145216182825,128.0,8460703,G,71.0,201.0,1974-04-15,USA,1994.0,9.0,217.0,L,18,24,4,0,39,"[21, 100, 19, None, 3]","[10, 100, 29, None, 4]","[75, 54, 24, None, 34]","['BOS', 'BOS', 'BOS', None, 'DAL']"
2013-2014,Tuukka Rask,BOS,G,94.0,97.0,38.8,61.2,64.2,91.0,91.0,74.6,82.1,91.0,73.1,64.2,71.6,5,3,42,27,25,7,7,18,12,6,18,24,20,67,Starter,58.0,3386.6,0.9305974652987328,2.037441681922872,123.21180241927114,115.0,8471695,G,75.0,176.0,1987-03-10,FIN,2005.0,1.0,21.0,L,36,15,6,7,26,"[86, 38, 72, 96, 88]","[85, 43, 50, 96, 95]","[83, 43, 77, 73, 13]","['BOS', 'BOS', 'BOS', 'BOS', 'BOS']"
