Season,Player,Team,Position,tot_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,pdo_rank,ozs_rank,tmt_rank,cmp_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,Specific Position,tot_history,evo_history,evd_history,ppl_history,pkl_history,team_history
2007-2008,Clarke MacArthur,BUF,F,,,,,,,64.0,281.0,145.0,356.0,192.0,24.0,344.0,,,Third Line,37,538.83333333333,8,7,15,4.2,53.66,41.68,22,1985-04-06,CAN,CAN,72,192,2003,3,74,8470667,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BUF']"
2007-2008,Cody McCormick,COL,F,,,,,,,361.0,382.0,388.0,303.0,37.0,41.0,294.0,,,Fourth Line,40,438.88333333333,2,2,4,2.88,53.85,48.69,24,1983-04-18,CAN,CAN,74,222,2001,5,144,8469591,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'COL']"
2007-2008,Cody McLeod,COL,F,,,,,,,261.0,266.0,338.0,334.0,21.0,64.0,374.0,,,Fourth Line,49,496.08333333333,4,5,9,4.47,42.86,49.92,23,1984-06-26,CAN,CAN,74,204,-,-,-,8471657,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'COL']"
2007-2008,Colby Armstrong,ATL,F,,,,,,,135.0,208.0,177.0,120.0,138.0,33.0,371.0,,,Second Line,72,1156.5333333333,13,22,35,11.09,50.00,51.38,24,1982-11-23,CAN,CAN,74,185,2001,1,21,8469474,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ATL']"
2007-2008,Colton Orr,NYR,F,,,,,,,402.0,405.0,400.0,360.0,11.0,90.0,244.0,,,Fringe,74,578.96666666667,1,1,2,2.24,22.73,45.94,25,1982-03-03,CAN,CAN,75,222,-,-,-,8468778,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYR']"
2007-2008,Corey Perry,ANA,F,,,,,,,41.0,66.0,58.0,206.0,139.0,28.0,31.0,,,Second Line,70,1256.5166666667,29,25,54,21.71,58.02,54.33,22,1985-05-16,CAN,CAN,75,208,2003,1,28,8470621,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ANA']"
2007-2008,Cory Stillman,OTT,F,,,,,,,199.0,339.0,179.0,142.0,283.0,54.0,281.0,,,First Line,79,1499.6333333333,24,41,65,15.4,46.05,46.17,33,1973-12-20,CAN,CAN,72,193,1992,1,6,8458943,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'OTT']"
2007-2008,Craig Adams,CHI,F,,,,,,,383.0,372.0,386.0,177.0,35.0,91.0,165.0,,,Fourth Line,75,809.65,4,7,11,6.45,26.83,40.55,30,1977-04-26,BRN,CAN,72,200,1996,9,223,8465166,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CHI']"
2007-2008,Craig Conroy,CGY,F,,,,,,,165.0,285.0,247.0,357.0,174.0,28.0,399.0,,,Second Line,79,1355.45,12,22,34,14.14,53.33,51.91,35,1971-09-04,USA,USA,74,193,1990,6,123,8455919,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CGY']"
2007-2008,Craig MacDonald,TBL,F,,,,,,,377.0,276.0,195.0,139.0,133.0,75.0,352.0,,,Fourth Line,65,706.5,2,9,11,5.52,36.59,47.42,30,1977-04-07,CAN,CAN,73,201,1996,4,88,8465041,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TBL']"
2007-2008,Craig Weller,PHX,F,,,,,,,352.0,322.0,302.0,358.0,26.0,73.0,73.0,,,Fourth Line,59,612.58333333333,3,8,11,4.66,43.59,47.24,26,1981-03-17,CAN,CAN,76,220,2000,5,167,8468647,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'PHX']"
2007-2008,Curtis Brown,SJS,F,,,,,,,28.0,41.0,255.0,326.0,172.0,26.0,8.0,,,Fourth Line,33,356.83333333333,5,4,9,4.33,59.09,58.66,31,1976-02-12,CAN,CAN,72,200,1994,2,43,8460534,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'SJS']"
2007-2008,Curtis Glencross,EDM,F,,,,,,,23.0,40.0,245.0,124.0,79.0,44.0,67.0,,,Fourth Line,62,704.6,15,10,25,9.49,56.25,58.02,24,1982-12-28,CAN,CAN,73,197,-,-,-,8471185,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'EDM']"
2007-2008,DJ King,STL,F,,,,,,,249.0,375.0,315.0,368.0,10.0,76.0,48.0,,,Fringe,61,341.95,3,3,6,2.17,40.91,47.98,23,1984-06-27,CAN,CAN,75,231,2002,6,190,8470294,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'STL']"
2007-2008,Dainius Zubrus,NJD,F,,,,,,,262.0,255.0,108.0,162.0,200.0,37.0,94.0,,,Second Line,82,1287.0166666667,13,25,38,13.67,53.85,53.13,29,1978-06-16,LTU,LTU,77,225,1996,1,15,8464977,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NJD']"
2007-2008,Dallas Drake,DET,F,,,,,,,375.0,394.0,383.0,30.0,48.0,93.0,108.0,,,Fourth Line,65,695.48333333333,3,3,6,3.74,26.67,45.77,38,1969-02-04,CAN,CAN,72,186,1989,6,116,8456106,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'DET']"
2007-2008,Dan Fritsche,CBJ,F,,,,,,,236.0,227.0,117.0,195.0,135.0,49.0,311.0,,,Fourth Line,69,851.83333333333,10,12,22,9.14,50.91,52.63,22,1985-07-13,USA,USA,73,204,2003,2,46,8470639,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CBJ']"
2007-2008,Dan Hinote,STL,F,,,,,,,211.0,264.0,307.0,242.0,29.0,37.0,309.0,,,Fourth Line,58,609.88333333333,5,5,10,4.84,46.15,39.48,30,1977-01-30,USA,USA,72,187,1996,7,167,8465175,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'STL']"
2007-2008,Daniel Alfredsson,OTT,F,,,,,,,17.0,178.0,23.0,210.0,300.0,35.0,150.0,,,First Line,70,1559.9,40,49,89,24.81,53.77,49.91,34,1972-12-11,SWE,SWE,71,203,1994,6,133,8460621,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'OTT']"
2007-2008,Daniel Brière,PHI,F,,,,,,,82.0,240.0,180.0,152.0,384.0,58.0,55.0,,,First Line,79,1490.35,31,41,72,19.98,39.29,43.19,29,1977-10-06,CAN,CAN,69,174,1996,1,24,8464975,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'PHI']"
2007-2008,Daniel Carcillo,PHX,F,,,,,,,77.0,52.0,296.0,385.0,44.0,39.0,153.0,,,Fourth Line,57,724.31666666667,13,11,24,12.07,53.13,46.86,22,1985-01-28,CAN,CAN,72,200,2003,3,73,8470666,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'PHX']"
2007-2008,Daniel Cleary,DET,F,,,,,,,16.0,78.0,214.0,100.0,134.0,28.0,188.0,,,Second Line,63,1095.35,20,22,42,15.93,64.52,55.88,28,1978-12-18,CAN,CAN,73,205,1997,1,13,8466149,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'DET']"
2007-2008,Daniel Paille,BUF,F,,,,,,,47.0,179.0,86.0,12.0,171.0,28.0,276.0,,,Fourth Line,77,1021.9,19,16,35,11.27,55.38,53.44,23,1984-04-15,CAN,CAN,73,188,2002,1,20,8470230,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BUF']"
2007-2008,Daniel Sedin,VAN,F,,,,,,,105.0,70.0,116.0,164.0,397.0,54.0,97.0,,,First Line,82,1561.9,29,45,74,29.1,53.09,55.16,26,1980-09-26,SWE,SWE,73,190,1999,1,2,8467875,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'VAN']"
2007-2008,Daniel Winnik,PHX,F,,,,,,,139.0,135.0,313.0,52.0,162.0,53.0,123.0,,,Third Line,79,1113.9333333333,11,15,26,10.89,50.91,49.48,22,1985-03-06,CAN,CAN,74,210,2004,9,265,8471476,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'PHX']"
2007-2008,Dany Heatley,OTT,F,,,,,,,9.0,56.0,84.0,314.0,265.0,6.0,182.0,,,First Line,71,1543.0833333333,41,41,82,29.76,63.03,51.5,26,1981-01-21,DEU,CAN,75,212,2000,1,2,8468482,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'OTT']"
2007-2008,Darcy Tucker,TOR,F,,,,,,,223.0,202.0,233.0,111.0,84.0,67.0,142.0,,,Second Line,74,1216.1166666667,18,16,34,17.95,45.31,50.2,32,1975-03-15,CAN,CAN,70,178,1993,6,151,8459574,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TOR']"
2007-2008,Dave Bolland,CHI,F,,,,,,,221.0,193.0,11.0,90.0,120.0,21.0,329.0,,,Third Line,39,534.96666666667,4,13,17,4.67,58.33,50.88,21,1986-06-05,CAN,CAN,72,188,2004,2,32,8471245,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CHI']"
2007-2008,David Backes,STL,F,,,,,,,198.0,114.0,243.0,250.0,8.0,77.0,262.0,,,Third Line,72,1056.7166666667,13,18,31,13.29,44.74,51.7,23,1984-05-01,USA,USA,75,215,2003,2,62,8470655,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'STL']"
2007-2008,David Booth,FLA,F,,,,,,,14.0,26.0,137.0,33.0,78.0,20.0,275.0,,,Second Line,73,1180.5666666667,22,18,40,19.78,60.26,48.42,22,1984-11-24,USA,USA,72,212,2004,2,53,8471266,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'FLA']"
2007-2008,David Clarkson,NJD,F,,,,,,,256.0,93.0,264.0,239.0,43.0,39.0,60.0,,,Fourth Line,81,974.56666666667,9,13,22,12.77,50.68,50.43,23,1984-03-31,CAN,CAN,72,207,-,-,-,8470920,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NJD']"
2007-2008,David Jones,COL,F,,,,,,,376.0,175.0,194.0,290.0,70.0,84.0,252.0,,,Fourth Line,27,306.71666666667,2,4,6,3.81,35.29,52.64,23,1984-08-10,CAN,CAN,75,208,2003,9,288,8470877,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'COL']"
2007-2008,David Krejci,BOS,F,,,,,,,330.0,313.0,140.0,263.0,199.0,66.0,110.0,,,Third Line,56,835.46666666667,6,21,27,7.33,46.15,51.3,21,1986-04-28,CZE,CZE,72,192,2004,2,63,8471276,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BOS']"
2007-2008,David Legwand,NSH,F,,,,,,,93.0,161.0,91.0,295.0,401.0,35.0,158.0,,,First Line,65,1170.6,15,29,44,16.76,50.70,48.52,27,1980-08-17,USA,USA,74,207,1998,1,2,8467330,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NSH']"
2007-2008,David Moss,CGY,F,,,,,,,235.0,30.0,120.0,67.0,154.0,82.0,206.0,,,Fourth Line,41,508.18333333333,4,7,11,7.6,43.75,55.72,25,1981-12-28,USA,USA,76,210,2001,7,220,8469664,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CGY']"
2007-2008,David Perron,STL,F,,,,,,,98.0,315.0,70.0,40.0,140.0,2.0,72.0,,,Fourth Line,62,778.11666666667,13,14,27,7.15,70.21,54.56,19,1988-05-28,CAN,CAN,73,196,2007,1,26,8474102,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'STL']"
2007-2008,David Steckel,WSH,F,,,,,,,282.0,289.0,309.0,235.0,100.0,62.0,402.0,,,Third Line,67,908.75,5,7,12,6.14,47.37,51.71,25,1982-03-15,USA,USA,78,215,2001,1,30,8469483,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'WSH']"
2007-2008,David Vyborny,CBJ,F,,,,,,,308.0,335.0,361.0,262.0,298.0,70.0,211.0,,,Third Line,66,1021.8166666667,7,19,26,10.59,43.18,54.58,32,1975-01-22,CZE,CZE,70,181,1993,2,33,8459455,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CBJ']"
2007-2008,Daymond Langkow,CGY,F,,,,,,,159.0,155.0,29.0,166.0,279.0,33.0,96.0,,,First Line,80,1506.25,30,35,65,24.36,60.20,58.34,30,1976-09-27,CAN,CAN,70,181,1995,1,5,8462036,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CGY']"
2007-2008,Dean McAmmond,OTT,F,,,,,,,250.0,324.0,192.0,328.0,247.0,64.0,89.0,,,Fourth Line,68,784.26666666667,9,13,22,6.34,46.30,50.25,34,1973-06-15,CAN,CAN,71,195,1991,1,22,8458536,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'OTT']"
2007-2008,Derek Armstrong,LAK,F,,,,,,,272.0,173.0,71.0,201.0,125.0,43.0,235.0,,,Fourth Line,77,1022.7333333333,8,27,35,12.09,53.95,51.68,34,1973-04-23,CAN,CAN,72,197,1992,6,128,8459064,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'LAK']"
2007-2008,Derek Roy,BUF,F,,,,,,,21.0,59.0,36.0,25.0,341.0,43.0,75.0,,,First Line,78,1635.5,32,49,81,22.57,56.03,57.81,24,1983-05-04,CAN,CAN,69,184,2001,2,32,8469485,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BUF']"
2007-2008,Devin Setoguchi,SJS,F,,,,,,,54.0,15.0,149.0,125.0,97.0,15.0,46.0,,,Third Line,44,626.9,11,6,17,11.34,67.86,60.61,20,1987-01-01,CAN,CAN,72,205,2005,1,8,8471682,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'SJS']"
2007-2008,Dominic Moore,TOR,F,,,,,,,351.0,220.0,256.0,48.0,258.0,49.0,325.0,,,Fourth Line,68,903.21666666667,5,12,17,8.26,46.81,46.56,27,1980-08-03,CAN,CAN,72,192,2000,3,95,8468575,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TOR']"
2007-2008,Donald Brashear,WSH,F,,,,,,,274.0,356.0,380.0,370.0,27.0,77.0,49.0,,,Fringe,80,628.71666666667,5,3,8,4.57,40.00,50.12,35,1972-01-07,USA,USA,75,237,-,-,-,8459246,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'WSH']"
2007-2008,Doug Weight,ANA,F,,,,,,,228.0,329.0,320.0,309.0,266.0,24.0,27.0,,,Third Line,67,979.15,10,15,25,8.42,61.54,48.19,36,1971-01-21,USA,USA,71,202,1990,2,34,8458361,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ANA']"
2007-2008,Drew Stafford,BUF,F,,,,,,,12.0,224.0,35.0,281.0,153.0,32.0,143.0,,,Third Line,64,866.0,16,22,38,8.77,55.22,54.59,21,1985-10-30,USA,USA,74,215,2004,1,13,8471226,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BUF']"
2007-2008,Dustin Boyd,CGY,F,,,,,,,36.0,122.0,199.0,14.0,160.0,75.0,76.0,,,Fourth Line,48,471.2,7,5,12,5.57,36.84,47.94,21,1986-07-16,CAN,CAN,72,187,2004,3,98,8471310,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CGY']"
2007-2008,Dustin Brown,LAK,F,,,,,,,80.0,166.0,275.0,2.0,14.0,63.0,213.0,,,First Line,78,1582.9833333333,33,27,60,26.02,41.30,44.94,22,1984-11-04,USA,USA,72,205,2003,1,13,8470606,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'LAK']"
2007-2008,Dustin Penner,EDM,F,,,,,,,234.0,76.0,318.0,184.0,230.0,52.0,342.0,,,Second Line,82,1410.6833333333,23,24,47,22.14,48.86,50.62,24,1982-09-28,CAN,CAN,76,247,-,-,-,8471208,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'EDM']"
2007-2008,Eric Belanger,MIN,F,,,,,,,367.0,331.0,54.0,225.0,294.0,49.0,316.0,,,Second Line,75,1291.4333333333,13,24,37,12.15,46.48,45.8,29,1977-12-16,CAN,CAN,71,185,1996,4,96,8465050,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'MIN']"
2007-2008,Eric Boulton,ATL,F,,,,,,,301.0,228.0,326.0,341.0,118.0,60.0,258.0,,,Fringe,74,551.26666666667,4,5,9,5.19,35.29,39.7,31,1976-08-17,CAN,CAN,72,227,1994,9,234,8460720,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ATL']"
2007-2008,Eric Godard,CGY,F,,,,,,,388.0,371.0,392.0,384.0,124.0,76.0,33.0,,,Fringe,74,348.63333333333,1,1,2,2.3,30.00,41.87,27,1980-03-07,CAN,CAN,76,222,-,-,-,8468252,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CGY']"
2007-2008,Eric Nystrom,CGY,F,,,,,,,304.0,404.0,191.0,66.0,55.0,55.0,193.0,,,Fourth Line,44,505.73333333333,3,7,10,3.03,40.00,43.33,24,1983-02-14,USA,USA,73,200,2002,1,10,8470180,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CGY']"
2007-2008,Eric Perrin,ATL,F,,,,,,,280.0,346.0,146.0,297.0,301.0,49.0,255.0,,,Second Line,81,1443.9666666667,12,33,45,12.17,43.75,46.51,31,1975-11-01,CAN,CAN,69,180,-,-,-,8466399,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ATL']"
2007-2008,Eric Staal,CAR,F,,,,,,,33.0,9.0,164.0,7.0,221.0,50.0,203.0,,,First Line,82,1774.05,38,44,82,35.0,50.85,51.47,22,1984-10-29,CAN,CAN,76,195,2003,1,2,8470595,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CAR']"
2007-2008,Erik Christensen,ATL,F,,,,,,,126.0,82.0,321.0,316.0,277.0,52.0,286.0,,,Fourth Line,59,787.18333333333,11,13,24,11.6,43.14,47.92,23,1983-12-17,CAN,CAN,73,200,2002,3,69,8470299,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ATL']"
2007-2008,Erik Cole,CAR,F,,,,,,,177.0,36.0,40.0,3.0,75.0,40.0,269.0,,,First Line,73,1413.2,22,29,51,23.63,54.17,51.86,28,1978-11-06,USA,USA,74,205,1998,3,71,8467396,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CAR']"
2007-2008,Ethan Moreau,EDM,F,,,,,,,204.0,127.0,200.0,366.0,116.0,42.0,340.0,,,Second Line,25,397.93333333333,5,4,9,4.98,42.11,38.33,31,1975-09-22,CAN,CAN,75,223,1994,1,14,8460504,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'EDM']"
2007-2008,Evgeni Malkin,PIT,F,,,,,,,13.0,58.0,17.0,43.0,252.0,18.0,184.0,,,First Line,82,1748.0166666667,47,59,106,32.17,57.63,52.82,21,1986-07-31,RUS,RUS,75,195,2004,1,2,8471215,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'PIT']"
2007-2008,Fernando Pisani,EDM,F,,,,,,,141.0,219.0,319.0,265.0,281.0,38.0,291.0,,,Second Line,56,925.78333333333,13,9,22,10.24,46.15,45.53,30,1976-12-27,CAN,CAN,73,205,1996,8,195,8465170,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'EDM']"
2007-2008,Freddy Modin,CBJ,F,,,,,,,181.0,119.0,211.0,135.0,274.0,24.0,384.0,,,Second Line,23,387.1,6,6,12,4.91,55.56,52.5,32,1974-10-08,SWE,SWE,76,220,1994,3,64,8460556,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CBJ']"
2007-2008,Fredrik Sjostrom,NYR,F,,,,,,,208.0,149.0,385.0,236.0,66.0,64.0,302.0,,,Fourth Line,69,836.51666666667,12,9,21,11.54,42.50,47.54,24,1983-05-06,SWE,SWE,73,218,2001,1,11,8469464,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYR']"
2007-2008,Gary Roberts,PIT,F,,,,,,,396.0,374.0,27.0,327.0,207.0,50.0,335.0,,,Fourth Line,38,506.75,3,12,15,5.56,44.44,46.66,41,1966-05-23,CAN,CAN,74,215,1984,1,12,8450900,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'PIT']"
2007-2008,Geoff Sanderson,EDM,F,,,,,,,339.0,378.0,151.0,242.0,366.0,79.0,155.0,,,Fourth Line,41,416.4,3,10,13,3.82,36.36,50.47,35,1972-02-01,CAN,CAN,72,190,1990,2,36,8457921,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'EDM']"
2007-2008,George Parros,ANA,F,,,,,,,395.0,402.0,332.0,379.0,15.0,34.0,29.0,,,Fringe,69,410.0,1,4,5,2.11,57.14,45.72,27,1979-12-29,USA,USA,77,224,1999,8,222,8468095,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ANA']"
2007-2008,Georges Laraque,PIT,F,,,,,,,297.0,399.0,225.0,374.0,59.0,21.0,80.0,,,Fringe,71,546.91666666667,4,9,13,2.94,51.52,43.67,30,1976-12-07,CAN,CAN,76,245,1995,2,31,8462060,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'PIT']"
2007-2008,Gilbert Brule,CBJ,F,,,,,,,400.0,239.0,217.0,61.0,71.0,68.0,26.0,,,Fourth Line,61,603.68333333333,1,8,9,6.23,43.33,51.35,20,1987-01-01,CAN,CAN,71,187,2005,1,6,8471680,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CBJ']"
2007-2008,Glen Metropolit,BOS,F,,,,,,,222.0,177.0,158.0,232.0,267.0,44.0,270.0,,,Second Line,82,1347.05,11,22,33,11.71,50.00,49.7,33,1974-06-25,CAN,CAN,70,196,-,-,-,8462823,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BOS']"
