Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2013-2014,Nate Schmidt,WSH,D,101.0,203.0,,,72.0,178.0,90.0,41.0,199.0,70.0,1.0,189.0,,154.0,Second Pair,29,542.13333333333,2,1,22,1991-07-16,USA,USA,72,195,-,-,-,-,8477220,https://assets.nhle.com/mugs/nhl/20132014/WSH/8477220.png
2013-2014,Nick Holden,COL,D,117.0,200.0,25.0,129.0,166.0,187.0,140.0,3.0,210.0,161.0,117.0,36.0,,86.0,Second Pair,54,1008.8833333333,10,6,26,1987-05-15,CAN,CAN,76,210,-,-,-,-,8474207,https://assets.nhle.com/mugs/nhl/20132014/COL/8474207.png
2013-2014,Nick Leddy,CHI,D,42.0,122.0,89.0,,28.0,27.0,69.0,65.0,89.0,8.0,37.0,171.0,,113.0,Third Pair,82,1341.6,7,10,22,1991-03-20,USA,USA,72,205,2009,1,16,16,8475181,https://assets.nhle.com/mugs/nhl/20132014/CHI/8475181.png
2013-2014,Nick Schultz,CBJ,D,218.0,133.0,,99.0,180.0,180.0,217.0,214.0,204.0,205.0,159.0,128.0,,177.0,Third Pair,69,1125.5166666667,0,3,31,1982-08-25,CAN,CAN,73,203,2000,2,3,33,8468513,https://assets.nhle.com/mugs/nhl/20132014/CBJ/8468513.png
2013-2014,Nick Schultz,EDM,D,218.0,133.0,,99.0,180.0,180.0,217.0,214.0,204.0,205.0,159.0,128.0,,177.0,Third Pair,69,1125.5166666667,0,3,31,1982-08-25,CAN,CAN,73,203,2000,2,3,33,8468513,https://assets.nhle.com/mugs/nhl/20132014/EDM/8468513.png
2013-2014,Nicklas Grossmann,PHI,D,193.0,38.0,,12.0,190.0,131.0,177.0,180.0,169.0,145.0,125.0,25.0,,119.0,Second Pair,78,1490.8833333333,1,6,28,1985-01-22,SWE,SWE,76,230,2004,2,26,56,8471269,https://assets.nhle.com/mugs/nhl/20132014/PHI/8471269.png
2013-2014,Nikita Nikitin,CBJ,D,129.0,68.0,102.0,,186.0,65.0,84.0,147.0,71.0,195.0,76.0,139.0,,111.0,Third Pair,66,1129.5666666667,2,8,27,1986-06-16,RUS,RUS,76,217,2004,5,7,136,8471348,https://assets.nhle.com/mugs/nhl/20132014/CBJ/8471348.png
2013-2014,Niklas Hjalmarsson,CHI,D,126.0,27.0,,23.0,122.0,11.0,141.0,139.0,86.0,106.0,166.0,211.0,,88.0,Second Pair,81,1723.6,4,8,26,1987-06-06,SWE,SWE,75,197,2005,4,17,108,8471769,https://assets.nhle.com/mugs/nhl/20132014/CHI/8471769.png
2013-2014,Niklas Kronwall,DET,D,148.0,53.0,26.0,25.0,95.0,61.0,205.0,105.0,117.0,68.0,163.0,150.0,,18.0,First Pair,79,1920.7166666667,8,13,32,1981-01-12,SWE,SWE,72,194,2000,1,29,29,8468509,https://assets.nhle.com/mugs/nhl/20132014/DET/8468509.png
2013-2014,Oliver Ekman-Larsson,PHX,D,71.0,139.0,30.0,138.0,160.0,75.0,48.0,38.0,58.0,151.0,39.0,109.0,,29.0,First Pair,80,2071.6166666667,15,12,22,1991-07-17,SWE,SWE,74,200,2009,1,6,6,8475171,https://assets.nhle.com/mugs/nhl/20132014/PHX/8475171.png
2013-2014,Olli Määttä,PIT,D,63.0,112.0,35.0,122.0,150.0,105.0,74.0,37.0,25.0,156.0,19.0,209.0,,79.0,Second Pair,78,1442.9166666667,9,12,19,1994-08-22,FIN,FIN,74,207,2012,1,22,22,8476874,https://assets.nhle.com/mugs/nhl/20132014/PIT/8476874.png
2013-2014,P.K. Subban,MTL,D,37.0,174.0,21.0,,36.0,84.0,79.0,60.0,45.0,160.0,107.0,105.0,,5.0,First Pair,82,2018.5333333333,10,19,24,1989-05-13,CAN,CAN,72,210,2007,2,13,43,8474056,https://assets.nhle.com/mugs/nhl/20132014/MTL/8474056.png
2013-2014,Patrick Wiercioch,OTT,D,16.0,197.0,1.0,,20.0,143.0,24.0,149.0,14.0,18.0,153.0,140.0,,64.0,Third Pair,53,867.5,4,10,22,1990-09-12,CAN,CAN,77,202,2008,2,12,42,8474605,https://assets.nhle.com/mugs/nhl/20132014/OTT/8474605.png
2013-2014,Paul Martin,PIT,D,118.0,45.0,46.0,64.0,80.0,57.0,156.0,74.0,105.0,173.0,65.0,201.0,,42.0,First Pair,39,958.26666666667,3,4,32,1981-03-05,USA,USA,73,200,2000,2,32,62,8468542,https://assets.nhle.com/mugs/nhl/20132014/PIT/8468542.png
2013-2014,Paul Ranger,TOR,D,87.0,208.0,,162.0,217.0,219.0,103.0,9.0,19.0,224.0,220.0,38.0,,146.0,Third Pair,53,923.45,6,6,28,1984-09-12,CAN,CAN,75,210,2002,6,17,183,8470085,https://assets.nhle.com/mugs/nhl/20132014/TOR/8470085.png
2013-2014,Peter Harrold,NJD,D,220.0,24.0,125.0,17.0,214.0,4.0,194.0,220.0,201.0,130.0,42.0,208.0,,220.0,Second Pair,33,616.01666666667,0,1,30,1983-06-08,USA,USA,71,180,-,-,-,-,8472394,https://assets.nhle.com/mugs/nhl/20132014/NJD/8472394.png
2013-2014,Philip Larsen,EDM,D,162.0,190.0,66.0,,196.0,156.0,121.0,110.0,127.0,172.0,142.0,72.0,,127.0,Third Pair,30,513.66666666667,3,3,23,1989-12-07,DNK,DNK,73,185,2008,5,28,149,8474707,https://assets.nhle.com/mugs/nhl/20132014/EDM/8474707.png
2013-2014,Radko Gudas,TBL,D,83.0,157.0,105.0,151.0,141.0,200.0,33.0,186.0,52.0,149.0,207.0,4.0,,75.0,Second Pair,73,1396.2666666667,3,8,23,1990-06-05,CZE,CZE,72,208,2010,3,6,66,8475462,https://assets.nhle.com/mugs/nhl/20132014/TBL/8475462.png
2013-2014,Raphael Diaz,MTL,D,144.0,5.0,100.0,45.0,204.0,82.0,136.0,131.0,41.0,115.0,109.0,197.0,,115.0,Third Pair,63,1132.4333333333,2,10,27,1986-01-09,CHE,CHE,71,197,-,-,-,-,8476244,https://assets.nhle.com/mugs/nhl/20132014/MTL/8476244.png
2013-2014,Raphael Diaz,NYR,D,144.0,5.0,100.0,45.0,204.0,82.0,136.0,131.0,41.0,115.0,109.0,197.0,,115.0,Third Pair,63,1132.4333333333,2,10,27,1986-01-09,CHE,CHE,71,197,-,-,-,-,8476244,https://assets.nhle.com/mugs/nhl/20132014/NYR/8476244.png
2013-2014,Raphael Diaz,VAN,D,144.0,5.0,100.0,45.0,204.0,82.0,136.0,131.0,41.0,115.0,109.0,197.0,,115.0,Third Pair,63,1132.4333333333,2,10,27,1986-01-09,CHE,CHE,71,197,-,-,-,-,8476244,https://assets.nhle.com/mugs/nhl/20132014/VAN/8476244.png
2013-2014,Rasmus Ristolainen,BUF,D,199.0,225.0,117.0,133.0,226.0,226.0,129.0,70.0,172.0,220.0,43.0,60.0,,194.0,Second Pair,34,649.96666666667,2,2,18,1994-10-27,FIN,FIN,76,221,2013,1,8,8,8477499,https://assets.nhle.com/mugs/nhl/20132014/BUF/8477499.png
2013-2014,Rob Scuderi,PIT,D,201.0,141.0,,149.0,138.0,129.0,226.0,219.0,146.0,85.0,23.0,216.0,,203.0,Second Pair,53,1002.85,0,4,34,1978-12-30,USA,USA,73,216,1998,5,20,134,8467452,https://assets.nhle.com/mugs/nhl/20132014/PIT/8467452.png
2013-2014,Robert Bortuzzo,PIT,D,191.0,39.0,,161.0,222.0,120.0,122.0,212.0,84.0,137.0,103.0,15.0,,195.0,Third Pair,54,835.85,0,5,24,1989-03-18,CAN,CAN,76,216,2007,3,17,78,8474145,https://assets.nhle.com/mugs/nhl/20132014/PIT/8474145.png
2013-2014,Robyn Regehr,LAK,D,196.0,168.0,,126.0,161.0,91.0,192.0,209.0,184.0,177.0,173.0,26.0,,197.0,Second Pair,79,1497.6333333333,3,5,33,1980-04-19,BRA,CAN,75,222,1998,1,19,19,8467344,https://assets.nhle.com/mugs/nhl/20132014/LAK/8467344.png
2013-2014,Roman Josi,NSH,D,47.0,28.0,67.0,103.0,145.0,78.0,43.0,17.0,54.0,191.0,28.0,214.0,,15.0,First Pair,72,1902.1,13,16,23,1990-06-01,CHE,CHE,73,201,2008,2,8,38,8474600,https://assets.nhle.com/mugs/nhl/20132014/NSH/8474600.png
2013-2014,Roman Polak,STL,D,168.0,12.0,,2.0,201.0,32.0,95.0,86.0,196.0,152.0,203.0,29.0,,145.0,Third Pair,72,1248.2833333333,4,3,27,1986-04-28,CZE,CZE,74,240,2004,6,17,180,8471392,https://assets.nhle.com/mugs/nhl/20132014/STL/8471392.png
2013-2014,Ron Hainsey,CAR,D,142.0,69.0,,80.0,41.0,113.0,195.0,163.0,170.0,189.0,90.0,162.0,,124.0,Second Pair,82,1758.0,4,5,32,1981-03-24,USA,USA,75,201,2000,1,13,13,8468493,https://assets.nhle.com/mugs/nhl/20132014/CAR/8468493.png
2013-2014,Rostislav Klesla,PHX,D,89.0,101.0,,163.0,75.0,125.0,114.0,69.0,134.0,39.0,157.0,57.0,,171.0,Third Pair,25,387.73333333333,1,1,31,1982-03-21,CZE,CZE,75,215,2000,1,4,4,8468484,https://assets.nhle.com/mugs/nhl/20132014/PHX/8468484.png
2013-2014,Ryan Ellis,NSH,D,85.0,33.0,86.0,,148.0,24.0,50.0,44.0,120.0,40.0,8.0,158.0,,108.0,Third Pair,80,1285.3833333333,6,9,22,1991-01-03,CAN,CAN,70,180,2009,1,11,11,8475176,https://assets.nhle.com/mugs/nhl/20132014/NSH/8475176.png
2013-2014,Ryan McDonagh,NYR,D,11.0,105.0,50.0,96.0,5.0,121.0,35.0,35.0,73.0,147.0,61.0,143.0,,20.0,First Pair,77,1910.8833333333,14,10,24,1989-06-13,USA,USA,73,215,2007,1,12,12,8474151,https://assets.nhle.com/mugs/nhl/20132014/NYR/8474151.png
2013-2014,Ryan Murphy,CAR,D,40.0,214.0,111.0,,119.0,222.0,25.0,168.0,6.0,7.0,3.0,217.0,,126.0,Second Pair,48,877.7,2,8,20,1993-03-31,CAN,CAN,71,175,2011,1,12,12,8476465,https://assets.nhle.com/mugs/nhl/20132014/CAR/8476465.png
2013-2014,Ryan Murray,CBJ,D,187.0,56.0,95.0,29.0,169.0,68.0,215.0,201.0,128.0,139.0,59.0,222.0,,133.0,Second Pair,66,1311.4666666667,4,8,19,1993-09-27,CAN,CAN,73,206,2012,1,2,2,8476850,https://assets.nhle.com/mugs/nhl/20132014/CBJ/8476850.png
2013-2014,Ryan Stanton,VAN,D,113.0,25.0,,,137.0,76.0,92.0,182.0,55.0,38.0,143.0,70.0,,173.0,Third Pair,64,941.56666666667,1,5,24,1989-07-20,CAN,CAN,73,205,-,-,-,-,8475598,https://assets.nhle.com/mugs/nhl/20132014/VAN/8475598.png
2013-2014,Ryan Suter,MIN,D,183.0,42.0,39.0,68.0,178.0,21.0,157.0,179.0,162.0,28.0,141.0,203.0,,21.0,First Pair,82,2411.95,8,12,28,1985-01-21,USA,USA,73,205,2003,1,7,7,8470600,https://assets.nhle.com/mugs/nhl/20132014/MIN/8470600.png
2013-2014,Ryan Wilson,COL,D,175.0,227.0,,107.0,194.0,227.0,164.0,222.0,56.0,44.0,17.0,32.0,,222.0,Third Pair,28,410.66666666667,0,2,26,1987-02-03,CAN,CAN,73,210,-,-,-,-,8473700,https://assets.nhle.com/mugs/nhl/20132014/COL/8473700.png
2013-2014,Sami Salo,TBL,D,154.0,77.0,94.0,150.0,131.0,58.0,146.0,107.0,164.0,119.0,82.0,170.0,,135.0,Second Pair,71,1291.5,4,6,38,1974-09-02,FIN,FIN,75,215,1996,9,24,239,8465202,https://assets.nhle.com/mugs/nhl/20132014/TBL/8465202.png
2013-2014,Sami Vatanen,ANA,D,15.0,136.0,34.0,,17.0,101.0,108.0,18.0,23.0,86.0,5.0,96.0,,87.0,Third Pair,48,837.66666666667,6,9,22,1991-06-03,FIN,FIN,70,185,2009,4,15,106,8475222,https://assets.nhle.com/mugs/nhl/20132014/ANA/8475222.png
2013-2014,Scott Hannan,SJS,D,157.0,110.0,,46.0,105.0,96.0,167.0,117.0,187.0,83.0,184.0,173.0,,187.0,Third Pair,56,995.18333333333,3,4,34,1979-01-23,CAN,CAN,73,215,1997,1,23,23,8466158,https://assets.nhle.com/mugs/nhl/20132014/SJS/8466158.png
2013-2014,Sergei Gonchar,DAL,D,79.0,177.0,64.0,,24.0,158.0,130.0,177.0,70.0,19.0,135.0,167.0,,71.0,Third Pair,76,1338.3666666667,2,8,39,1974-04-13,RUS,RUS,74,210,1992,1,14,14,8458951,https://assets.nhle.com/mugs/nhl/20132014/DAL/8458951.png
2013-2014,Seth Jones,NSH,D,198.0,161.0,103.0,144.0,213.0,130.0,132.0,119.0,211.0,96.0,75.0,184.0,,118.0,Second Pair,77,1510.7666666667,6,6,18,1994-10-03,USA,USA,76,213,2013,1,4,4,8477495,https://assets.nhle.com/mugs/nhl/20132014/NSH/8477495.png
2013-2014,Shane O'Brien,CGY,D,194.0,86.0,,,168.0,119.0,197.0,217.0,124.0,24.0,224.0,45.0,,224.0,Fringe,45,506.73333333333,0,1,30,1983-08-09,CAN,CAN,75,230,2003,8,21,250,8470839,https://assets.nhle.com/mugs/nhl/20132014/CGY/8470839.png
2013-2014,Shea Weber,NSH,D,60.0,50.0,18.0,53.0,144.0,83.0,36.0,26.0,85.0,208.0,127.0,82.0,,3.0,First Pair,79,2125.3666666667,23,10,28,1985-08-14,CAN,CAN,76,230,2003,2,19,49,8470642,https://assets.nhle.com/mugs/nhl/20132014/NSH/8470642.png
2013-2014,Sheldon Brookbank,CHI,D,100.0,100.0,,,158.0,86.0,82.0,104.0,80.0,6.0,130.0,59.0,,211.0,Fringe,48,618.61666666667,2,5,32,1980-10-03,CAN,CAN,73,202,-,-,-,-,8469992,https://assets.nhle.com/mugs/nhl/20132014/CHI/8469992.png
2013-2014,Simon Despres,PIT,D,137.0,43.0,116.0,44.0,101.0,41.0,118.0,160.0,156.0,37.0,217.0,42.0,,184.0,Third Pair,34,569.23333333333,0,2,22,1991-07-27,CAN,CAN,76,218,2009,1,30,30,8475155,https://assets.nhle.com/mugs/nhl/20132014/PIT/8475155.png
2013-2014,Slava Voynov,LAK,D,23.0,173.0,33.0,65.0,30.0,46.0,65.0,53.0,24.0,66.0,98.0,97.0,,65.0,First Pair,82,1828.5,4,20,23,1990-01-15,RUS,RUS,72,194,2008,2,2,32,8474594,https://assets.nhle.com/mugs/nhl/20132014/LAK/8474594.png
2013-2014,Stephane Robidas,ANA,D,73.0,160.0,56.0,132.0,49.0,150.0,116.0,61.0,65.0,124.0,176.0,31.0,,102.0,Second Pair,38,766.61666666667,5,2,36,1977-03-03,CAN,CAN,71,190,1995,7,8,164,8462196,https://assets.nhle.com/mugs/nhl/20132014/ANA/8462196.png
2013-2014,Stephane Robidas,DAL,D,73.0,160.0,56.0,132.0,49.0,150.0,116.0,61.0,65.0,124.0,176.0,31.0,,102.0,Second Pair,38,766.61666666667,5,2,36,1977-03-03,CAN,CAN,71,190,1995,7,8,164,8462196,https://assets.nhle.com/mugs/nhl/20132014/DAL/8462196.png
2013-2014,Steve Oleksy,WSH,D,45.0,55.0,,158.0,90.0,149.0,149.0,52.0,5.0,163.0,210.0,41.0,,134.0,Third Pair,33,503.76666666667,2,5,27,1986-02-04,USA,USA,72,188,-,-,-,-,8476162,https://assets.nhle.com/mugs/nhl/20132014/WSH/8476162.png
2013-2014,TJ Brodie,CGY,D,165.0,46.0,79.0,125.0,135.0,52.0,183.0,167.0,126.0,207.0,18.0,199.0,,93.0,First Pair,81,1949.1,4,11,23,1990-06-07,CAN,CAN,74,187,2008,4,23,114,8474673,https://assets.nhle.com/mugs/nhl/20132014/CGY/8474673.png
2013-2014,Thomas Hickey,NYI,D,72.0,106.0,,57.0,13.0,126.0,111.0,158.0,125.0,61.0,114.0,179.0,,151.0,Second Pair,82,1547.2666666667,4,8,24,1989-02-08,CAN,CAN,72,185,2007,1,4,4,8474066,https://assets.nhle.com/mugs/nhl/20132014/NYI/8474066.png
2013-2014,Tim Gleason,TOR,D,184.0,211.0,,92.0,120.0,217.0,184.0,197.0,188.0,214.0,190.0,21.0,,191.0,Third Pair,56,931.36666666667,1,1,30,1983-01-29,USA,USA,72,217,2001,1,23,23,8469476,https://assets.nhle.com/mugs/nhl/20132014/TOR/8469476.png
2013-2014,Tim Gleason,CAR,D,184.0,211.0,,92.0,120.0,217.0,184.0,197.0,188.0,214.0,190.0,21.0,,191.0,Third Pair,56,931.36666666667,1,1,30,1983-01-29,USA,USA,72,217,2001,1,23,23,8469476,https://assets.nhle.com/mugs/nhl/20132014/CAR/8469476.png
2013-2014,Toby Enstrom,WPG,D,156.0,150.0,109.0,84.0,109.0,152.0,189.0,71.0,182.0,120.0,147.0,215.0,,70.0,First Pair,82,1959.6666666667,10,7,28,1984-11-05,SWE,SWE,70,180,2003,8,10,239,8470828,https://assets.nhle.com/mugs/nhl/20132014/WPG/8470828.png
2013-2014,Tom Gilbert,FLA,D,119.0,107.0,70.0,85.0,86.0,85.0,188.0,166.0,49.0,155.0,49.0,181.0,,103.0,Second Pair,73,1557.9,3,13,30,1983-01-10,USA,USA,74,210,2002,4,33,129,8470104,https://assets.nhle.com/mugs/nhl/20132014/FLA/8470104.png
2013-2014,Torey Krug,BOS,D,22.0,49.0,4.0,,69.0,51.0,8.0,19.0,107.0,2.0,66.0,180.0,,36.0,Third Pair,79,1383.2833333333,14,10,22,1991-04-12,USA,USA,69,194,-,-,-,-,8476792,https://assets.nhle.com/mugs/nhl/20132014/BOS/8476792.png
2013-2014,Travis Hamonic,NYI,D,74.0,121.0,48.0,141.0,33.0,154.0,46.0,174.0,160.0,121.0,146.0,123.0,,53.0,First Pair,69,1726.1333333333,3,7,23,1990-08-16,CAN,CAN,73,200,2008,2,23,53,8474612,https://assets.nhle.com/mugs/nhl/20132014/NYI/8474612.png
2013-2014,Trevor Daley,DAL,D,35.0,163.0,108.0,140.0,32.0,153.0,72.0,28.0,67.0,136.0,164.0,191.0,,66.0,Second Pair,67,1416.75,9,9,29,1983-10-09,CAN,CAN,71,199,2002,2,13,43,8470110,https://assets.nhle.com/mugs/nhl/20132014/DAL/8470110.png
2013-2014,Tyler Myers,BUF,D,166.0,196.0,76.0,157.0,210.0,174.0,133.0,39.0,148.0,188.0,187.0,102.0,,81.0,Second Pair,62,1357.7166666667,9,7,23,1990-02-01,USA,CAN,80,229,2008,1,12,12,8474574,https://assets.nhle.com/mugs/nhl/20132014/BUF/8474574.png
2013-2014,Tyson Barrie,COL,D,39.0,180.0,99.0,,57.0,176.0,63.0,48.0,18.0,134.0,52.0,156.0,,61.0,Second Pair,64,1186.6833333333,13,11,22,1991-07-26,CAN,CAN,71,197,2009,3,3,64,8475197,https://assets.nhle.com/mugs/nhl/20132014/COL/8475197.png
2013-2014,Victor Bartley,NSH,D,223.0,22.0,,49.0,224.0,112.0,227.0,184.0,165.0,103.0,105.0,83.0,,216.0,Third Pair,50,768.21666666667,1,3,25,1988-02-17,CAN,CAN,72,217,-,-,-,-,8473658,https://assets.nhle.com/mugs/nhl/20132014/NSH/8473658.png
2013-2014,Victor Hedman,TBL,D,4.0,91.0,91.0,134.0,85.0,77.0,16.0,16.0,2.0,109.0,178.0,131.0,,14.0,First Pair,75,1682.8166666667,13,26,22,1990-12-18,SWE,SWE,79,244,2009,1,2,2,8475167,https://assets.nhle.com/mugs/nhl/20132014/TBL/8475167.png
2013-2014,Willie Mitchell,LAK,D,150.0,89.0,,159.0,27.0,66.0,172.0,200.0,208.0,114.0,216.0,126.0,,172.0,Second Pair,76,1545.1166666667,1,2,36,1977-04-23,CAN,CAN,75,210,1996,8,10,199,8465185,https://assets.nhle.com/mugs/nhl/20132014/LAK/8465185.png
2013-2014,Yannick Weber,VAN,D,108.0,119.0,11.0,,218.0,165.0,10.0,10.0,209.0,99.0,193.0,119.0,,167.0,Fringe,49,583.88333333333,6,3,24,1988-09-23,CHE,CHE,71,200,2007,3,12,73,8474134,https://assets.nhle.com/mugs/nhl/20132014/VAN/8474134.png
2013-2014,Zach Bogosian,WPG,D,24.0,204.0,82.0,131.0,48.0,173.0,9.0,22.0,113.0,126.0,179.0,85.0,,43.0,First Pair,55,1260.0166666667,3,5,23,1990-07-15,USA,USA,74,222,2008,1,3,3,8474567,https://assets.nhle.com/mugs/nhl/20132014/WPG/8474567.png
2013-2014,Zbynek Michalek,PHX,D,133.0,6.0,,13.0,152.0,59.0,81.0,173.0,88.0,202.0,88.0,165.0,,68.0,Second Pair,59,1237.7,2,5,30,1982-12-23,CZE,CZE,74,210,-,-,-,-,8469760,https://assets.nhle.com/mugs/nhl/20132014/PHX/8469760.png
2013-2014,Zdeno Chara,BOS,D,8.0,99.0,17.0,95.0,23.0,20.0,19.0,24.0,31.0,194.0,191.0,73.0,,19.0,First Pair,77,1898.3166666667,17,13,36,1977-03-18,SVK,SVK,81,250,1996,3,4,56,8465009,https://assets.nhle.com/mugs/nhl/20132014/BOS/8465009.png
