Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL,Team URL
2020-2021,Erik Gudbranson,OTT,D,135.0,213.0,,88.0,98.0,203.0,88.0,138.0,195.0,177.0,189.0,19.0,,151.0,Third Pair,44,786.83333333333,1,1,28,1992-01-07,CAN,CAN,77,222,2010,1,3,3,8475790.0,https://assets.nhle.com/mugs/nhl/20202021/OTT/8475790.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2020-2021,Erik Gustafsson,MTL,D,123.0,180.0,39.0,,159.0,108.0,148.0,91.0,48.0,5.0,26.0,143.0,,92.0,Third Pair,29,484.66666666667,1,6,28,1992-03-14,SWE,SWE,72,197,2012,4,2,93,8476979.0,https://assets.nhle.com/mugs/nhl/20202021/MTL/8476979.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2020-2021,Erik Gustafsson,PHI,D,123.0,180.0,39.0,,159.0,108.0,148.0,91.0,48.0,5.0,26.0,143.0,,92.0,Third Pair,29,484.66666666667,1,6,28,1992-03-14,SWE,SWE,72,197,2012,4,2,93,8476979.0,https://assets.nhle.com/mugs/nhl/20202021/PHI/8476979.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg
2020-2021,Erik Karlsson,SJS,D,27.0,179.0,29.0,127.0,24.0,201.0,52.0,55.0,16.0,106.0,17.0,221.0,,27.0,First Pair,52,1226.8166666667,8,7,30,1990-05-31,SWE,SWE,72,190,2008,1,15,15,8474578.0,https://assets.nhle.com/mugs/nhl/20202021/SJS/8474578.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
2020-2021,Esa Lindell,DAL,D,117.0,75.0,67.0,118.0,129.0,50.0,132.0,111.0,88.0,115.0,83.0,70.0,,63.0,First Pair,56,1298.1166666667,5,6,26,1994-05-23,FIN,FIN,75,220,2012,3,13,74,8476902.0,https://assets.nhle.com/mugs/nhl/20202021/DAL/8476902.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2020-2021,Ethan Bear,EDM,D,128.0,163.0,,149.0,97.0,110.0,139.0,107.0,156.0,73.0,57.0,179.0,,126.0,Third Pair,43,772.35,2,2,23,1997-06-26,CAN,CAN,71,197,2015,5,3,124,8478451.0,https://assets.nhle.com/mugs/nhl/20202021/EDM/8478451.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2020-2021,Filip Hronek,DET,D,179.0,205.0,78.0,144.0,180.0,162.0,96.0,166.0,196.0,121.0,25.0,114.0,,58.0,First Pair,56,1309.6166666667,2,7,22,1997-11-02,CZE,CZE,72,190,2016,2,23,53,8479425.0,https://assets.nhle.com/mugs/nhl/20202021/DET/8479425.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2020-2021,Gustav Forsling,FLA,D,35.0,87.0,,164.0,67.0,59.0,19.0,26.0,92.0,220.0,18.0,196.0,,70.0,Second Pair,43,857.55,5,8,24,1996-06-12,SWE,SWE,72,186,2014,5,6,126,8478055.0,https://assets.nhle.com/mugs/nhl/20202021/FLA/8478055.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2020-2021,Hampus Lindholm,ANA,D,106.0,174.0,55.0,90.0,65.0,119.0,86.0,148.0,134.0,197.0,213.0,199.0,,73.0,First Pair,18,396.53333333333,2,1,26,1994-01-20,SWE,SWE,76,215,2012,1,6,6,8476854.0,https://assets.nhle.com/mugs/nhl/20202021/ANA/8476854.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2020-2021,Haydn Fleury,ANA,D,58.0,61.0,,122.0,137.0,65.0,28.0,27.0,125.0,62.0,22.0,81.0,,152.0,Third Pair,47,723.68333333333,3,0,24,1996-07-08,CAN,CAN,76,208,2014,1,7,7,8477938.0,https://assets.nhle.com/mugs/nhl/20202021/ANA/8477938.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2020-2021,Haydn Fleury,CAR,D,58.0,61.0,,122.0,137.0,65.0,28.0,27.0,125.0,62.0,22.0,81.0,,152.0,Third Pair,47,723.68333333333,3,0,24,1996-07-08,CAN,CAN,76,208,2014,1,7,7,8477938.0,https://assets.nhle.com/mugs/nhl/20202021/CAR/8477938.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2020-2021,Henri Jokiharju,BUF,D,131.0,122.0,,80.0,132.0,124.0,135.0,97.0,137.0,99.0,108.0,122.0,,160.0,Second Pair,46,845.5,3,3,21,1999-06-17,FIN,FIN,72,200,2017,1,29,29,8480035.0,https://assets.nhle.com/mugs/nhl/20202021/BUF/8480035.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
2020-2021,Ian Cole,COL,D,173.0,13.0,,96.0,164.0,104.0,198.0,156.0,102.0,225.0,224.0,116.0,,112.0,Third Pair,54,857.45,1,3,31,1989-02-21,USA,USA,73,225,2007,1,18,18,8474013.0,https://assets.nhle.com/mugs/nhl/20202021/COL/8474013.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2020-2021,Ian Cole,MIN,D,173.0,13.0,,96.0,164.0,104.0,198.0,156.0,102.0,225.0,224.0,116.0,,112.0,Third Pair,54,857.45,1,3,31,1989-02-21,USA,USA,73,225,2007,1,18,18,8474013.0,https://assets.nhle.com/mugs/nhl/20202021/MIN/8474013.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
2020-2021,Ian Mitchell,CHI,D,223.0,211.0,,,217.0,221.0,226.0,96.0,217.0,74.0,132.0,202.0,,215.0,Third Pair,39,586.08333333333,3,1,21,1999-01-18,CAN,CAN,71,193,2017,2,26,57,8480070.0,https://assets.nhle.com/mugs/nhl/20202021/CHI/8480070.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2020-2021,Ilya Lyubushkin,ARI,D,204.0,24.0,,,157.0,135.0,191.0,200.0,193.0,90.0,75.0,7.0,,199.0,Third Pair,42,658.78333333333,1,1,26,1994-04-06,RUS,RUS,74,200,-,-,-,-,8480950.0,https://assets.nhle.com/mugs/nhl/20202021/ARI/8480950.png,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
2020-2021,Ivan Provorov,PHI,D,126.0,121.0,46.0,93.0,121.0,78.0,84.0,56.0,207.0,164.0,99.0,146.0,,25.0,First Pair,56,1399.9166666667,7,7,23,1997-01-13,RUS,RUS,73,201,2015,1,7,7,8478500.0,https://assets.nhle.com/mugs/nhl/20202021/PHI/8478500.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg
2020-2021,Jaccob Slavin,CAR,D,26.0,30.0,,10.0,3.0,56.0,46.0,105.0,30.0,138.0,20.0,213.0,,53.0,First Pair,52,1195.0833333333,3,5,26,1994-05-01,USA,USA,75,207,2012,4,29,120,8476958.0,https://assets.nhle.com/mugs/nhl/20202021/CAR/8476958.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2020-2021,Jacob Bryson,BUF,D,222.0,207.0,,167.0,202.0,209.0,225.0,185.0,223.0,183.0,69.0,163.0,,193.0,Second Pair,38,723.73333333333,1,4,22,1997-11-18,CAN,CAN,69,176,2017,4,6,99,8480196.0,https://assets.nhle.com/mugs/nhl/20202021/BUF/8480196.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
2020-2021,Jacob Larsson,ANA,D,189.0,198.0,,140.0,171.0,206.0,170.0,175.0,163.0,195.0,160.0,171.0,,183.0,Third Pair,46,799.8,1,2,23,1997-04-29,SWE,SWE,74,193,2015,1,27,27,8478491.0,https://assets.nhle.com/mugs/nhl/20202021/ANA/8478491.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2020-2021,Jacob MacDonald,COL,D,13.0,1.0,,27.0,6.0,1.0,23.0,113.0,9.0,80.0,116.0,98.0,,140.0,Third Pair,33,493.36666666667,1,3,27,1993-02-26,USA,,72,204,-,-,-,-,8479439.0,https://assets.nhle.com/mugs/nhl/20202021/COL/8479439.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2020-2021,Jacob Trouba,NYR,D,49.0,64.0,68.0,120.0,89.0,170.0,36.0,87.0,36.0,143.0,120.0,21.0,,38.0,Second Pair,38,816.66666666667,2,5,26,1994-02-26,USA,USA,75,203,2012,1,9,9,8476885.0,https://assets.nhle.com/mugs/nhl/20202021/NYR/8476885.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2020-2021,Jake Bean,CAR,D,100.0,137.0,13.0,,115.0,97.0,72.0,208.0,39.0,12.0,76.0,211.0,,175.0,Third Pair,42,610.58333333333,1,6,22,1998-06-09,CAN,CAN,73,196,2016,1,13,13,8479402.0,https://assets.nhle.com/mugs/nhl/20202021/CAR/8479402.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2020-2021,Jake Gardiner,CAR,D,103.0,119.0,35.0,,19.0,55.0,182.0,201.0,121.0,31.0,157.0,178.0,,157.0,Third Pair,26,417.23333333333,0,4,30,1990-07-04,USA,USA,74,203,2008,1,17,17,8474581.0,https://assets.nhle.com/mugs/nhl/20202021/CAR/8474581.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2020-2021,Jake Muzzin,TOR,D,21.0,113.0,,43.0,15.0,79.0,53.0,69.0,29.0,188.0,139.0,45.0,,31.0,Second Pair,53,1141.7666666667,4,9,31,1989-02-21,CAN,CAN,75,227,2007,5,20,141,8474162.0,https://assets.nhle.com/mugs/nhl/20202021/TOR/8474162.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2020-2021,Jake Walman,STL,D,66.0,216.0,,165.0,191.0,194.0,2.0,62.0,197.0,38.0,16.0,87.0,,170.0,Third Pair,24,347.1,1,1,24,1996-02-20,CAN,CAN,74,215,2014,3,22,82,8478013.0,https://assets.nhle.com/mugs/nhl/20202021/STL/8478013.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2020-2021,Jakob Chychrun,ARI,D,12.0,109.0,24.0,31.0,72.0,154.0,12.0,3.0,27.0,45.0,153.0,127.0,,8.0,First Pair,56,1309.7333333333,18,13,22,1998-03-31,USA,USA,74,220,2016,1,16,16,8479345.0,https://assets.nhle.com/mugs/nhl/20202021/ARI/8479345.png,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
2020-2021,Jakub Zboril,BOS,D,209.0,102.0,,,198.0,83.0,214.0,225.0,99.0,18.0,39.0,77.0,,213.0,Third Pair,42,716.21666666667,0,4,23,1997-02-21,CZE,CZE,73,201,2015,1,13,13,8478415.0,https://assets.nhle.com/mugs/nhl/20202021/BOS/8478415.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2020-2021,Jalen Chatfield,VAN,D,215.0,222.0,,,201.0,225.0,195.0,227.0,204.0,226.0,178.0,164.0,,224.0,Third Pair,18,241.86666666667,0,1,24,1996-05-15,USA,USA,73,188,-,-,-,-,8478970.0,https://assets.nhle.com/mugs/nhl/20202021/VAN/8478970.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2020-2021,Jamie Drysdale,ANA,D,221.0,226.0,83.0,13.0,220.0,226.0,217.0,48.0,227.0,60.0,89.0,224.0,,129.0,Second Pair,24,469.98333333333,3,1,18,2002-04-08,CAN,CAN,71,183,2020,1,6,6,8482142.0,https://assets.nhle.com/mugs/nhl/20202021/ANA/8482142.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2020-2021,Jamie Oleksiak,DAL,D,86.0,36.0,,6.0,68.0,8.0,118.0,38.0,144.0,142.0,137.0,25.0,,118.0,Second Pair,56,1146.7333333333,6,3,27,1992-12-21,CAN,CAN,79,257,2011,1,14,14,8476467.0,https://assets.nhle.com/mugs/nhl/20202021/DAL/8476467.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2020-2021,Jan Rutta,TBL,D,68.0,143.0,,107.0,73.0,91.0,54.0,173.0,37.0,103.0,207.0,159.0,,163.0,Third Pair,35,561.13333333333,0,4,30,1990-07-29,CZE,CZE,75,204,-,-,-,-,8480172.0,https://assets.nhle.com/mugs/nhl/20202021/TBL/8480172.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2020-2021,Jani Hakanpää,ANA,D,218.0,148.0,,157.0,214.0,140.0,196.0,150.0,218.0,160.0,210.0,4.0,,198.0,Second Pair,57,1027.2,2,2,28,1992-03-31,FIN,FIN,78,225,2010,4,14,104,8475825.0,https://assets.nhle.com/mugs/nhl/20202021/ANA/8475825.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2020-2021,Jani Hakanpää,CAR,D,218.0,148.0,,157.0,214.0,140.0,196.0,150.0,218.0,160.0,210.0,4.0,,198.0,Second Pair,57,1027.2,2,2,28,1992-03-31,FIN,FIN,78,225,2010,4,14,104,8475825.0,https://assets.nhle.com/mugs/nhl/20202021/CAR/8475825.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2020-2021,Jared Spurgeon,MIN,D,63.0,4.0,53.0,32.0,61.0,35.0,93.0,18.0,110.0,69.0,61.0,151.0,,30.0,First Pair,54,1192.7666666667,7,7,30,1989-11-29,CAN,CAN,69,166,2008,6,5,156,8474716.0,https://assets.nhle.com/mugs/nhl/20202021/MIN/8474716.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
2020-2021,Jarred Tinordi,NSH,D,205.0,166.0,,76.0,212.0,198.0,117.0,204.0,172.0,127.0,72.0,10.0,,176.0,Third Pair,21,359.1,0,1,28,1992-02-20,USA,USA,78,229,2010,1,22,22,8475797.0,https://assets.nhle.com/mugs/nhl/20202021/NSH/8475797.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
2020-2021,Jarred Tinordi,BOS,D,205.0,166.0,,76.0,212.0,198.0,117.0,204.0,172.0,127.0,72.0,10.0,,176.0,Third Pair,21,359.1,0,1,28,1992-02-20,USA,USA,78,229,2010,1,22,22,8475797.0,https://assets.nhle.com/mugs/nhl/20202021/BOS/8475797.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2020-2021,Jason Demers,ARI,D,175.0,156.0,,130.0,141.0,153.0,147.0,212.0,149.0,162.0,162.0,64.0,,194.0,Third Pair,41,706.76666666667,0,2,32,1988-06-09,CAN,CAN,73,195,2008,7,5,186,8474218.0,https://assets.nhle.com/mugs/nhl/20202021/ARI/8474218.png,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
2020-2021,Jeff Petry,MTL,D,19.0,183.0,28.0,154.0,5.0,45.0,56.0,30.0,59.0,120.0,77.0,56.0,,18.0,First Pair,55,1250.5666666667,12,13,32,1987-12-09,USA,USA,75,209,2006,2,15,45,8473507.0,https://assets.nhle.com/mugs/nhl/20202021/MTL/8473507.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2020-2021,Jeremy Lauzon,BOS,D,161.0,93.0,,35.0,174.0,68.0,142.0,180.0,113.0,196.0,165.0,38.0,,161.0,Second Pair,41,767.13333333333,1,5,23,1997-04-28,CAN,CAN,73,204,2015,2,22,52,8478468.0,https://assets.nhle.com/mugs/nhl/20202021/BOS/8478468.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2020-2021,Joel Edmundson,MTL,D,82.0,167.0,,129.0,40.0,77.0,90.0,86.0,143.0,130.0,170.0,51.0,,101.0,Second Pair,55,1102.6,3,3,27,1993-06-28,CAN,CAN,77,221,2011,2,16,46,8476441.0,https://assets.nhle.com/mugs/nhl/20202021/MTL/8476441.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2020-2021,Joel Hanley,DAL,D,174.0,2.0,,,143.0,3.0,184.0,220.0,112.0,19.0,9.0,89.0,,211.0,Third Pair,35,455.61666666667,0,2,29,1991-06-08,CAN,CAN,71,190,-,-,-,-,8477810.0,https://assets.nhle.com/mugs/nhl/20202021/DAL/8477810.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2020-2021,John Carlson,WSH,D,3.0,94.0,22.0,72.0,47.0,138.0,18.0,6.0,5.0,29.0,106.0,173.0,,2.0,First Pair,52,1236.6666666667,10,17,30,1990-01-10,USA,USA,75,215,2008,1,27,27,8474590.0,https://assets.nhle.com/mugs/nhl/20202021/WSH/8474590.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2020-2021,John Klingberg,DAL,D,59.0,128.0,5.0,,52.0,47.0,91.0,71.0,66.0,35.0,41.0,177.0,,26.0,First Pair,53,1202.8833333333,7,13,28,1992-08-14,SWE,SWE,75,190,2010,5,11,131,8475906.0,https://assets.nhle.com/mugs/nhl/20202021/DAL/8475906.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2020-2021,John Marino,PIT,D,183.0,40.0,76.0,71.0,177.0,43.0,200.0,116.0,133.0,123.0,24.0,158.0,,119.0,Second Pair,52,1078.15,3,5,23,1997-05-21,USA,USA,73,181,2015,6,3,154,8478507.0,https://assets.nhle.com/mugs/nhl/20202021/PIT/8478507.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2020-2021,Jon Merrill,DET,D,201.0,37.0,,51.0,165.0,19.0,209.0,197.0,161.0,85.0,177.0,152.0,,181.0,Second Pair,49,894.56666666667,0,4,28,1992-02-03,USA,USA,75,204,2010,2,8,38,8475750.0,https://assets.nhle.com/mugs/nhl/20202021/DET/8475750.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2020-2021,Jon Merrill,MTL,D,201.0,37.0,,51.0,165.0,19.0,209.0,197.0,161.0,85.0,177.0,152.0,,181.0,Second Pair,49,894.56666666667,0,4,28,1992-02-03,USA,USA,75,204,2010,2,8,38,8475750.0,https://assets.nhle.com/mugs/nhl/20202021/MTL/8475750.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2020-2021,Jonas Brodin,MIN,D,121.0,7.0,87.0,30.0,179.0,27.0,129.0,135.0,32.0,192.0,97.0,204.0,,56.0,First Pair,53,1189.0166666667,9,7,27,1993-07-12,SWE,SWE,74,196,2011,1,10,10,8476463.0,https://assets.nhle.com/mugs/nhl/20202021/MIN/8476463.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
2020-2021,Jordan Oesterle,ARI,D,158.0,151.0,86.0,29.0,128.0,182.0,173.0,179.0,91.0,49.0,90.0,134.0,,116.0,Third Pair,43,769.75,1,5,28,1992-06-25,USA,USA,72,187,-,-,-,-,8477851.0,https://assets.nhle.com/mugs/nhl/20202021/ARI/8477851.png,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
2020-2021,Jordie Benn,VAN,D,62.0,171.0,,44.0,92.0,191.0,87.0,157.0,18.0,93.0,92.0,162.0,,127.0,Third Pair,39,575.45,1,5,33,1987-07-26,CAN,CAN,74,201,-,-,-,-,8474818.0,https://assets.nhle.com/mugs/nhl/20202021/VAN/8474818.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2020-2021,Jordie Benn,WPG,D,62.0,171.0,,44.0,92.0,191.0,87.0,157.0,18.0,93.0,92.0,162.0,,127.0,Third Pair,39,575.45,1,5,33,1987-07-26,CAN,CAN,74,201,-,-,-,-,8474818.0,https://assets.nhle.com/mugs/nhl/20202021/WPG/8474818.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2020-2021,Josh Manson,ANA,D,162.0,218.0,,62.0,187.0,211.0,185.0,209.0,33.0,212.0,220.0,23.0,,137.0,Third Pair,23,413.58333333333,1,4,28,1991-10-07,USA,CAN,75,218,2011,6,9,160,8476312.0,https://assets.nhle.com/mugs/nhl/20202021/ANA/8476312.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2020-2021,Josh Morrissey,WPG,D,124.0,193.0,38.0,168.0,124.0,202.0,89.0,133.0,166.0,65.0,111.0,157.0,,49.0,First Pair,56,1319.7666666667,4,9,25,1995-03-28,CAN,CAN,72,185,2013,1,13,13,8477504.0,https://assets.nhle.com/mugs/nhl/20202021/WPG/8477504.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2020-2021,Joshua Brown,OTT,D,220.0,95.0,,61.0,213.0,96.0,223.0,184.0,216.0,67.0,195.0,8.0,,219.0,Third Pair,26,367.66666666667,0,1,26,1994-01-21,CAN,CAN,77,220,2013,6,1,152,8477384.0,https://assets.nhle.com/mugs/nhl/20202021/OTT/8477384.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2020-2021,Justin Braun,PHI,D,160.0,60.0,,87.0,126.0,49.0,136.0,178.0,148.0,184.0,168.0,80.0,,143.0,Second Pair,53,982.06666666667,1,1,33,1987-02-10,USA,USA,74,205,2007,7,20,201,8474027.0,https://assets.nhle.com/mugs/nhl/20202021/PHI/8474027.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg
2020-2021,Justin Faulk,STL,D,83.0,70.0,44.0,138.0,147.0,92.0,40.0,51.0,97.0,145.0,184.0,67.0,,45.0,First Pair,56,1358.5333333333,7,6,28,1992-03-20,USA,USA,72,214,2010,2,7,37,8475753.0,https://assets.nhle.com/mugs/nhl/20202021/STL/8475753.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2020-2021,Justin Holl,TOR,D,96.0,153.0,,68.0,36.0,132.0,181.0,211.0,46.0,161.0,152.0,103.0,,109.0,Second Pair,55,1158.4666666667,2,7,28,1992-01-30,USA,USA,75,197,2010,2,24,54,8475718.0,https://assets.nhle.com/mugs/nhl/20202021/TOR/8475718.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2020-2021,Justin Schultz,WSH,D,55.0,100.0,20.0,,144.0,102.0,111.0,92.0,10.0,21.0,60.0,184.0,,66.0,Second Pair,46,874.73333333333,3,19,30,1990-07-06,CAN,CAN,74,190,2008,2,13,43,8474602.0,https://assets.nhle.com/mugs/nhl/20202021/WSH/8474602.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2020-2021,Juuso Valimaki,CGY,D,61.0,117.0,,69.0,103.0,136.0,45.0,104.0,52.0,16.0,209.0,185.0,,136.0,Third Pair,49,756.26666666667,2,5,21,1998-10-06,FIN,FIN,74,205,2017,1,16,16,,,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2020-2021,K'Andre Miller,NYR,D,203.0,159.0,89.0,150.0,190.0,188.0,194.0,45.0,214.0,119.0,82.0,84.0,,128.0,Second Pair,53,1118.8166666667,5,2,20,2000-01-21,USA,USA,77,215,2018,1,22,22,8480817.0,https://assets.nhle.com/mugs/nhl/20202021/NYR/8480817.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2020-2021,Kale Clague,LAK,D,105.0,221.0,59.0,151.0,142.0,217.0,120.0,221.0,21.0,139.0,34.0,208.0,,158.0,Third Pair,18,309.66666666667,0,2,22,1998-06-05,CAN,CAN,72,190,2016,2,21,51,8479348.0,https://assets.nhle.com/mugs/nhl/20202021/LAK/8479348.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2020-2021,Keith Yandle,FLA,D,47.0,184.0,18.0,,31.0,99.0,67.0,136.0,57.0,1.0,196.0,214.0,,52.0,Third Pair,56,965.53333333333,3,16,33,1986-09-09,USA,USA,73,192,2005,4,14,105,8471735.0,https://assets.nhle.com/mugs/nhl/20202021/FLA/8471735.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2020-2021,Kevan Miller,BOS,D,217.0,62.0,,12.0,181.0,33.0,207.0,161.0,225.0,86.0,84.0,27.0,,185.0,Second Pair,28,533.81666666667,1,0,32,1987-11-15,USA,USA,74,210,-,-,-,-,8476191.0,https://assets.nhle.com/mugs/nhl/20202021/BOS/8476191.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2020-2021,Kevin Shattenkirk,ANA,D,75.0,72.0,47.0,,55.0,73.0,100.0,121.0,74.0,89.0,148.0,136.0,,85.0,Second Pair,55,1166.2666666667,2,6,31,1989-01-29,USA,USA,72,212,2007,1,14,14,8474031.0,https://assets.nhle.com/mugs/nhl/20202021/ANA/8474031.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2020-2021,Kris Letang,PIT,D,16.0,141.0,6.0,91.0,66.0,122.0,14.0,25.0,12.0,33.0,98.0,101.0,,6.0,First Pair,55,1355.6666666667,7,26,33,1987-04-24,CAN,CAN,72,201,2005,3,1,62,8471724.0,https://assets.nhle.com/mugs/nhl/20202021/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2020-2021,Kris Russell,EDM,D,208.0,11.0,,94.0,222.0,98.0,159.0,213.0,64.0,205.0,42.0,115.0,,99.0,Second Pair,35,643.71666666667,0,4,33,1987-05-02,CAN,CAN,70,170,2005,3,6,67,8471729.0,https://assets.nhle.com/mugs/nhl/20202021/EDM/8471729.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2020-2021,Kurtis MacDermid,LAK,D,168.0,224.0,,19.0,167.0,224.0,150.0,32.0,209.0,84.0,225.0,14.0,,197.0,Third Pair,28,373.93333333333,2,0,26,1994-03-25,CAN,CAN,77,233,-,-,-,-,8477073.0,https://assets.nhle.com/mugs/nhl/20202021/LAK/8477073.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2020-2021,Libor Hajek,NYR,D,224.0,208.0,,,224.0,222.0,213.0,163.0,215.0,128.0,38.0,172.0,,204.0,Third Pair,44,671.93333333333,2,1,22,1998-02-04,CZE,CZE,74,209,2016,2,7,37,8479333.0,https://assets.nhle.com/mugs/nhl/20202021/NYR/8479333.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2020-2021,Logan Stanley,WPG,D,116.0,127.0,,,192.0,101.0,3.0,146.0,220.0,102.0,173.0,52.0,,180.0,Third Pair,37,489.23333333333,1,0,22,1998-05-26,CAN,CAN,79,242,2016,1,18,18,8479378.0,https://assets.nhle.com/mugs/nhl/20202021/WPG/8479378.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2020-2021,Luke Schenn,TBL,D,73.0,103.0,,,119.0,74.0,17.0,50.0,138.0,51.0,212.0,1.0,,214.0,Fringe,38,408.76666666667,2,2,30,1989-11-02,CAN,CAN,74,225,2008,1,5,5,8474568.0,https://assets.nhle.com/mugs/nhl/20202021/TBL/8474568.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2020-2021,MacKenzie Weegar,FLA,D,33.0,6.0,,105.0,71.0,6.0,61.0,13.0,34.0,191.0,107.0,43.0,,39.0,First Pair,54,1194.2666666667,6,13,26,1994-01-07,CAN,CAN,72,206,2013,7,25,206,8477346.0,https://assets.nhle.com/mugs/nhl/20202021/FLA/8477346.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2020-2021,Marc Staal,DET,D,207.0,195.0,,163.0,204.0,174.0,205.0,101.0,179.0,208.0,138.0,109.0,,179.0,Second Pair,56,1030.9333333333,3,4,33,1987-01-13,CAN,CAN,76,208,2005,1,12,12,8471686.0,https://assets.nhle.com/mugs/nhl/20202021/DET/8471686.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2020-2021,Marc-Edouard Vlasic,SJS,D,187.0,111.0,,95.0,84.0,151.0,215.0,198.0,180.0,199.0,88.0,181.0,,171.0,Third Pair,51,892.98333333333,1,2,33,1987-03-30,CAN,CAN,73,205,2005,2,5,35,8471709.0,https://assets.nhle.com/mugs/nhl/20202021/SJS/8471709.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
