Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL,Team URL
2024-2025,Charlie Coyle,CBJ,F,246.0,182.0,221.0,88.0,182.0,337.0,337.0,147.0,233.0,378.0,138.0,187.0,75.0,172.0,Second Line,83,1410.1166666667,17,10,32,1992-03-02,USA,USA,75,223,2010,1,28,28,8475745.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8475745.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2024-2025,Chris Kreider,NYR,F,238.0,360.0,43.0,126.0,185.0,324.0,139.0,161.0,386.0,153.0,396.0,179.0,,103.0,Second Line,68,1139.2833333333,22,3,33,1991-04-30,USA,USA,75,230,2009,1,19,19,8475184.0,https://assets.nhle.com/mugs/nhl/20242025/NYR/8475184.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2024-2025,Chris Wagner,COL,F,385.0,178.0,,,431.0,376.0,37.0,370.0,335.0,413.0,29.0,21.0,174.0,430.0,Fringe,28,198.66666666667,1,0,33,1991-05-27,USA,USA,72,192,2010,5,2,122,,,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2024-2025,Christian Dvorak,MTL,F,299.0,361.0,,130.0,270.0,390.0,344.0,299.0,228.0,401.0,193.0,358.0,21.0,259.0,Third Line,82,1249.9833333333,12,15,28,1996-02-02,USA,USA,73,193,2014,2,28,58,8477989.0,https://assets.nhle.com/mugs/nhl/20242025/MTL/8477989.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2024-2025,Christian Fischer,CBJ,F,409.0,327.0,,,401.0,345.0,383.0,421.0,317.0,336.0,55.0,79.0,,401.0,Fourth Line,46,511.25,1,3,27,1997-04-15,USA,USA,74,212,2015,2,2,32,8478432.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8478432.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2024-2025,Claude Giroux,OTT,F,198.0,221.0,103.0,147.0,70.0,185.0,270.0,303.0,260.0,81.0,107.0,317.0,20.0,121.0,First Line,81,1474.6333333333,15,21,36,1988-01-12,CAN,CAN,71,190,2006,1,22,22,8473512.0,https://assets.nhle.com/mugs/nhl/20242025/OTT/8473512.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2024-2025,Clayton Keller,UTA,F,70.0,238.0,98.0,,126.0,147.0,80.0,104.0,47.0,99.0,33.0,433.0,,24.0,First Line,81,1548.5666666667,30,26,26,1998-07-29,USA,USA,70,178,2016,1,7,7,8479343.0,https://assets.nhle.com/mugs/nhl/20242025/UTA/8479343.png,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg
2024-2025,Cody Glass,NJD,F,181.0,93.0,,98.0,132.0,129.0,162.0,316.0,172.0,265.0,237.0,243.0,74.0,265.0,Third Line,65,887.61666666667,6,12,25,1999-04-01,CAN,CAN,75,206,2017,1,6,6,8479996.0,https://assets.nhle.com/mugs/nhl/20242025/NJD/8479996.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2024-2025,Cole Caufield,MTL,F,17.0,395.0,154.0,,153.0,386.0,13.0,6.0,28.0,67.0,40.0,328.0,,43.0,First Line,82,1482.2333333333,37,22,23,2001-01-02,USA,USA,67,174,2019,1,15,15,8481540.0,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481540.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2024-2025,Cole Koepke,BOS,F,381.0,256.0,,,434.0,184.0,279.0,224.0,351.0,422.0,152.0,49.0,,385.0,Fourth Line,73,820.96666666667,10,5,26,1998-05-17,USA,USA,73,196,2018,6,28,183,8481043.0,https://assets.nhle.com/mugs/nhl/20242025/BOS/8481043.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2024-2025,Cole Perfetti,WPG,F,155.0,44.0,116.0,,184.0,29.0,149.0,225.0,96.0,8.0,307.0,296.0,,154.0,Third Line,82,1245.5,18,18,22,2002-01-01,CAN,CAN,71,184,2020,1,10,10,8482149.0,https://assets.nhle.com/mugs/nhl/20242025/WPG/8482149.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2024-2025,Cole Schwindt,VGK,F,415.0,281.0,,,370.0,210.0,391.0,438.0,315.0,162.0,2.0,174.0,95.0,422.0,Fourth Line,42,388.76666666667,1,2,23,2001-04-25,CAN,CAN,74,182,2019,3,19,81,8481655.0,https://assets.nhle.com/mugs/nhl/20242025/VGK/8481655.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
2024-2025,Cole Sillinger,CBJ,F,280.0,348.0,194.0,168.0,347.0,398.0,152.0,349.0,153.0,188.0,337.0,178.0,149.0,188.0,Second Line,66,1116.3,11,14,21,2003-05-16,USA,USA,73,201,2021,1,12,12,8482705.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8482705.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2024-2025,Cole Smith,NSH,F,366.0,226.0,,72.0,301.0,172.0,359.0,395.0,333.0,425.0,241.0,47.0,,388.0,Third Line,71,966.01666666667,4,4,28,1995-10-28,USA,USA,75,195,-,-,-,-,8482062.0,https://assets.nhle.com/mugs/nhl/20242025/NSH/8482062.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
2024-2025,Colin Blackwell,DAL,F,325.0,125.0,,136.0,336.0,88.0,223.0,372.0,230.0,348.0,15.0,155.0,108.0,339.0,Fourth Line,63,728.45,6,7,31,1993-03-28,USA,USA,69,190,2011,7,13,193,8476278.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8476278.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2024-2025,Collin Graf,SJS,F,423.0,373.0,86.0,170.0,378.0,380.0,425.0,391.0,438.0,340.0,258.0,354.0,,316.0,Second Line,33,523.36666666667,5,4,21,2002-09-21,USA,,73,194,-,-,-,-,,,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
2024-2025,Colton Dach,CHI,F,405.0,377.0,,,402.0,428.0,417.0,380.0,348.0,191.0,169.0,25.0,,378.0,Fourth Line,25,303.2,2,2,21,2003-01-04,CAN,CAN,76,196,2021,2,30,62,,,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2024-2025,Colton Sissons,NSH,F,328.0,73.0,,135.0,269.0,228.0,369.0,357.0,248.0,416.0,322.0,144.0,30.0,267.0,Third Line,72,1033.85,7,11,30,1993-11-05,CAN,CAN,73,200,2012,2,20,50,8476925.0,https://assets.nhle.com/mugs/nhl/20242025/NSH/8476925.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
2024-2025,Connor Bedard,CHI,F,214.0,434.0,90.0,,366.0,435.0,178.0,233.0,46.0,63.0,362.0,342.0,181.0,77.0,First Line,82,1663.4166666667,23,28,19,2005-07-17,CAN,,70,185,2023,1,1,1,8484144.0,https://assets.nhle.com/mugs/nhl/20242025/CHI/8484144.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2024-2025,Connor Brown,EDM,F,284.0,127.0,,12.0,279.0,120.0,182.0,317.0,277.0,362.0,293.0,404.0,,317.0,Third Line,82,1148.8,13,7,30,1994-01-14,CAN,CAN,72,181,2012,6,5,156,8477015.0,https://assets.nhle.com/mugs/nhl/20242025/EDM/8477015.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2024-2025,Connor Dewar,PIT,F,386.0,133.0,,83.0,396.0,137.0,216.0,318.0,401.0,412.0,158.0,44.0,,350.0,Fourth Line,48,554.76666666667,4,1,25,1999-06-26,CAN,CAN,70,183,2018,3,30,92,8480980.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8480980.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2024-2025,Connor McDavid,EDM,F,3.0,179.0,1.0,,1.0,63.0,78.0,63.0,2.0,41.0,11.0,302.0,104.0,4.0,First Line,67,1476.1,26,50,27,1997-01-13,CAN,CAN,73,193,2015,1,1,1,8478402.0,https://assets.nhle.com/mugs/nhl/20242025/EDM/8478402.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2024-2025,Connor McMichael,WSH,F,112.0,349.0,204.0,,134.0,355.0,133.0,43.0,186.0,156.0,374.0,371.0,,148.0,Second Line,82,1378.3,26,13,23,2001-01-15,CAN,CAN,72,180,2019,1,25,25,8481580.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8481580.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2024-2025,Connor Zary,CGY,F,202.0,252.0,211.0,,152.0,200.0,229.0,109.0,323.0,84.0,133.0,377.0,170.0,185.0,Second Line,54,868.0,13,5,22,2001-09-25,CAN,CAN,72,178,2020,1,24,24,8482074.0,https://assets.nhle.com/mugs/nhl/20242025/CGY/8482074.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2024-2025,Conor Garland,VAN,F,113.0,17.0,169.0,28.0,189.0,24.0,56.0,195.0,68.0,303.0,43.0,321.0,,123.0,First Line,81,1511.0166666667,19,20,28,1996-03-11,USA,USA,70,165,2015,5,2,123,8478856.0,https://assets.nhle.com/mugs/nhl/20242025/VAN/8478856.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2024-2025,Conor Geekie,TBL,F,324.0,231.0,,,314.0,179.0,335.0,232.0,302.0,231.0,92.0,106.0,143.0,354.0,Fourth Line,52,640.91666666667,8,4,20,2004-05-05,CAN,,76,207,2022,1,11,11,,,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2024-2025,Corey Perry,EDM,F,212.0,163.0,172.0,,118.0,85.0,244.0,85.0,390.0,57.0,140.0,280.0,,283.0,Fourth Line,81,966.9,19,6,39,1985-05-16,CAN,CAN,75,208,2003,1,28,28,8470621.0,https://assets.nhle.com/mugs/nhl/20242025/EDM/8470621.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2024-2025,Craig Smith,DET,F,157.0,317.0,213.0,,258.0,369.0,52.0,159.0,124.0,295.0,426.0,205.0,,300.0,Fourth Line,59,668.98333333333,9,7,34,1989-09-05,USA,USA,72,204,2009,4,7,98,8475225.0,https://assets.nhle.com/mugs/nhl/20242025/DET/8475225.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2024-2025,Curtis Lazar,NJD,F,417.0,47.0,,38.0,398.0,103.0,420.0,408.0,357.0,381.0,246.0,41.0,85.0,403.0,Fourth Line,48,507.21666666667,2,2,29,1995-02-02,CAN,CAN,72,203,2013,1,17,17,8477508.0,https://assets.nhle.com/mugs/nhl/20242025/NJD/8477508.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2024-2025,Cutter Gauthier,ANA,F,92.0,435.0,232.0,,293.0,432.0,27.0,86.0,49.0,251.0,262.0,267.0,,147.0,Third Line,82,1160.75,20,14,20,2004-01-19,SWE,,74,189,2022,1,5,5,8483445.0,https://assets.nhle.com/mugs/nhl/20242025/ANA/8483445.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2024-2025,Dakota Joshua,VAN,F,302.0,144.0,,,298.0,119.0,385.0,167.0,288.0,363.0,348.0,18.0,,315.0,Fourth Line,57,738.76666666667,7,5,28,1996-05-15,USA,USA,75,206,2014,5,8,128,8478057.0,https://assets.nhle.com/mugs/nhl/20242025/VAN/8478057.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2024-2025,Daniel Sprong,NJD,F,208.0,245.0,162.0,,365.0,87.0,38.0,278.0,194.0,116.0,222.0,230.0,,250.0,Fourth Line,30,365.91666666667,2,4,27,1997-03-17,NLD,NLD,72,202,2015,2,16,46,8478466.0,https://assets.nhle.com/mugs/nhl/20242025/NJD/8478466.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2024-2025,Danton Heinen,PIT,F,254.0,160.0,,6.0,267.0,155.0,303.0,255.0,160.0,258.0,407.0,198.0,,282.0,Fourth Line,79,1061.9833333333,9,9,29,1995-07-05,CAN,CAN,73,188,2014,4,26,116,8478046.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8478046.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2024-2025,David Gustafsson,WPG,F,356.0,1.0,,,330.0,1.0,321.0,381.0,381.0,420.0,192.0,247.0,62.0,410.0,Fringe,36,323.3,2,2,24,2000-04-11,SWE,SWE,74,212,2018,2,29,60,8481019.0,https://assets.nhle.com/mugs/nhl/20242025/WPG/8481019.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2024-2025,David Kampf,TOR,F,401.0,135.0,,118.0,412.0,123.0,403.0,379.0,312.0,427.0,251.0,207.0,51.0,392.0,Fourth Line,59,731.18333333333,5,7,29,1995-01-12,CZE,CZE,74,197,-,-,-,-,8480144.0,https://assets.nhle.com/mugs/nhl/20242025/TOR/8480144.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2024-2025,David Pastrnak,BOS,F,2.0,382.0,53.0,,114.0,182.0,3.0,4.0,1.0,4.0,20.0,315.0,,5.0,First Line,82,1655.2666666667,43,45,28,1996-05-25,CZE,CZE,73,195,2014,1,25,25,8477956.0,https://assets.nhle.com/mugs/nhl/20242025/BOS/8477956.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2024-2025,David Perron,OTT,F,273.0,234.0,100.0,,299.0,231.0,224.0,252.0,245.0,323.0,333.0,145.0,,203.0,Third Line,43,602.86666666667,9,4,36,1988-05-28,CAN,CAN,73,196,2007,1,26,26,8474102.0,https://assets.nhle.com/mugs/nhl/20242025/OTT/8474102.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2024-2025,Dawson Mercer,NJD,F,234.0,215.0,127.0,129.0,190.0,180.0,280.0,156.0,274.0,304.0,277.0,398.0,,190.0,Second Line,82,1466.45,19,12,22,2001-10-27,CAN,CAN,72,180,2020,1,18,18,8482110.0,https://assets.nhle.com/mugs/nhl/20242025/NJD/8482110.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2024-2025,Derek Ryan,EDM,F,392.0,7.0,,,278.0,59.0,414.0,410.0,409.0,372.0,254.0,220.0,9.0,414.0,Fourth Line,36,336.81666666667,1,2,37,1986-12-29,USA,USA,70,185,-,-,-,-,8478585.0,https://assets.nhle.com/mugs/nhl/20242025/EDM/8478585.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2024-2025,Devin Shore,MIN,F,427.0,210.0,,,423.0,418.0,365.0,433.0,425.0,322.0,207.0,108.0,,427.0,Fringe,55,475.85,1,2,30,1994-07-19,CAN,CAN,73,206,2012,2,31,61,8476913.0,https://assets.nhle.com/mugs/nhl/20242025/MIN/8476913.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
2024-2025,Dmitri Voronkov,CBJ,F,102.0,345.0,108.0,,121.0,397.0,160.0,103.0,85.0,74.0,428.0,222.0,,135.0,Second Line,73,1225.45,23,14,23,2000-09-10,RUS,,77,240,2019,4,21,114,8481716.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8481716.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2024-2025,Drake Batherson,OTT,F,159.0,264.0,22.0,,176.0,255.0,137.0,186.0,158.0,129.0,167.0,167.0,,83.0,First Line,82,1487.6833333333,26,27,26,1998-04-27,USA,USA,75,200,2017,4,28,121,8480208.0,https://assets.nhle.com/mugs/nhl/20242025/OTT/8480208.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2024-2025,Drew O'Connor,VAN,F,206.0,207.0,,17.0,136.0,252.0,147.0,265.0,218.0,278.0,214.0,232.0,,264.0,Third Line,84,1214.85,10,7,26,1998-06-09,USA,USA,75,200,-,-,-,-,8482055.0,https://assets.nhle.com/mugs/nhl/20242025/VAN/8482055.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2024-2025,Dylan Cozens,OTT,F,85.0,403.0,133.0,,148.0,383.0,94.0,201.0,18.0,173.0,273.0,120.0,91.0,119.0,Second Line,82,1398.9833333333,16,20,23,2001-02-09,CAN,CAN,75,195,2019,1,7,7,8481528.0,https://assets.nhle.com/mugs/nhl/20242025/OTT/8481528.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2024-2025,Dylan Guenther,UTA,F,95.0,185.0,62.0,,141.0,211.0,33.0,160.0,171.0,73.0,301.0,284.0,,57.0,Second Line,70,1189.8,27,18,21,2003-04-10,CAN,CAN,74,175,2021,1,9,9,8482699.0,https://assets.nhle.com/mugs/nhl/20242025/UTA/8482699.png,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg
2024-2025,Dylan Holloway,STL,F,142.0,27.0,120.0,,158.0,19.0,121.0,141.0,139.0,172.0,94.0,83.0,,142.0,Second Line,77,1295.4833333333,26,21,22,2001-09-23,CAN,CAN,73,203,2020,1,14,14,8482077.0,https://assets.nhle.com/mugs/nhl/20242025/STL/8482077.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2024-2025,Dylan Larkin,DET,F,99.0,342.0,20.0,148.0,157.0,249.0,85.0,198.0,70.0,281.0,82.0,363.0,40.0,30.0,First Line,82,1645.8,30,27,28,1996-07-30,USA,USA,73,198,2014,1,15,15,8477946.0,https://assets.nhle.com/mugs/nhl/20242025/DET/8477946.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2024-2025,Dylan Strome,WSH,F,93.0,232.0,54.0,,72.0,298.0,274.0,60.0,136.0,2.0,328.0,422.0,66.0,68.0,Second Line,82,1425.4666666667,29,27,27,1997-03-07,CAN,CAN,75,200,2015,1,3,3,8478440.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8478440.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2024-2025,Eeli Tolvanen,SEA,F,241.0,64.0,198.0,,275.0,221.0,165.0,83.0,391.0,167.0,313.0,56.0,,166.0,Third Line,81,1159.9166666667,23,5,25,1999-04-22,FIN,FIN,70,191,2017,1,30,30,8480009.0,https://assets.nhle.com/mugs/nhl/20242025/SEA/8480009.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg
2024-2025,Eetu Luostarinen,FLA,F,318.0,13.0,,19.0,169.0,16.0,356.0,325.0,353.0,85.0,197.0,118.0,,289.0,Third Line,80,1223.0666666667,9,8,25,1998-09-02,FIN,FIN,75,190,2017,2,11,42,8480185.0,https://assets.nhle.com/mugs/nhl/20242025/FLA/8480185.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2024-2025,Elias Lindholm,BOS,F,252.0,71.0,124.0,131.0,214.0,226.0,212.0,280.0,271.0,213.0,144.0,211.0,17.0,117.0,First Line,82,1482.3833333333,17,16,29,1994-12-02,SWE,SWE,73,202,2013,1,5,5,8477496.0,https://assets.nhle.com/mugs/nhl/20242025/BOS/8477496.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2024-2025,Elias Pettersson,VAN,F,190.0,9.0,66.0,,226.0,97.0,320.0,239.0,100.0,198.0,13.0,218.0,147.0,52.0,First Line,64,1194.2666666667,15,19,25,1998-11-12,SWE,SWE,74,176,2017,1,5,5,8480012.0,https://assets.nhle.com/mugs/nhl/20242025/VAN/8480012.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2024-2025,Elmer Soderblom,DET,F,227.0,429.0,,,308.0,395.0,163.0,145.0,225.0,277.0,185.0,147.0,,280.0,Fourth Line,26,347.63333333333,4,3,23,2001-07-05,SWE,SWE,80,246,2019,6,4,159,,,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2024-2025,Emil Heineman,MTL,F,380.0,268.0,188.0,,403.0,165.0,364.0,275.0,397.0,365.0,416.0,35.0,,363.0,Fourth Line,62,706.31666666667,10,5,22,2001-11-16,SWE,SWE,72,194,2020,2,12,43,8482476.0,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482476.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2024-2025,Eric Robinson,CAR,F,101.0,296.0,,,103.0,203.0,145.0,164.0,44.0,124.0,177.0,116.0,,323.0,Fourth Line,82,1005.4166666667,14,14,29,1995-06-14,USA,USA,74,205,-,-,-,-,8480762.0,https://assets.nhle.com/mugs/nhl/20242025/CAR/8480762.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2024-2025,Erik Haula,NJD,F,209.0,206.0,,14.0,192.0,154.0,136.0,214.0,220.0,260.0,427.0,166.0,35.0,233.0,Third Line,69,1014.5833333333,11,7,33,1991-03-23,FIN,FIN,71,191,2009,7,1,182,8475287.0,https://assets.nhle.com/mugs/nhl/20242025/NJD/8475287.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2024-2025,Evan Rodrigues,FLA,F,153.0,128.0,119.0,,46.0,33.0,81.0,282.0,214.0,105.0,230.0,172.0,115.0,198.0,Third Line,82,1247.9666666667,15,6,31,1993-07-28,CAN,CAN,71,184,-,-,-,-,8478542.0,https://assets.nhle.com/mugs/nhl/20242025/FLA/8478542.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2024-2025,Evgeni Malkin,PIT,F,114.0,233.0,50.0,,79.0,284.0,276.0,155.0,81.0,25.0,153.0,388.0,137.0,90.0,Second Line,68,1209.4166666667,16,22,38,1986-07-31,RUS,RUS,75,195,2004,1,2,2,8471215.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8471215.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2024-2025,Evgenii Dadonov,DAL,F,197.0,302.0,160.0,,179.0,232.0,194.0,115.0,305.0,192.0,232.0,329.0,,216.0,Third Line,80,1082.6666666667,20,12,35,1989-03-12,RUS,RUS,71,189,2007,3,10,71,8474149.0,https://assets.nhle.com/mugs/nhl/20242025/DAL/8474149.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2024-2025,Fabian Zetterlund,OTT,F,177.0,279.0,156.0,,283.0,403.0,93.0,187.0,167.0,262.0,63.0,161.0,,130.0,Second Line,84,1372.7166666667,19,14,25,1999-08-25,SWE,SWE,71,220,2017,3,1,63,8480188.0,https://assets.nhle.com/mugs/nhl/20242025/OTT/8480188.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2024-2025,Fedor Svechkov,NSH,F,391.0,426.0,25.0,,292.0,363.0,357.0,335.0,436.0,30.0,131.0,305.0,187.0,319.0,Fourth Line,52,670.01666666667,8,5,21,2003-04-05,RUS,,72,187,2021,1,19,19,,,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
2024-2025,Filip Chytil,VAN,F,133.0,413.0,195.0,,165.0,373.0,24.0,67.0,341.0,52.0,17.0,411.0,155.0,189.0,Third Line,56,838.2,13,7,24,1999-09-05,CZE,CZE,74,204,2017,1,21,21,8480078.0,https://assets.nhle.com/mugs/nhl/20242025/VAN/8480078.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2024-2025,Filip Forsberg,NSH,F,13.0,340.0,28.0,,63.0,332.0,4.0,20.0,45.0,22.0,31.0,149.0,,15.0,First Line,82,1527.4833333333,31,24,30,1994-08-13,SWE,SWE,73,205,2012,1,11,11,8476887.0,https://assets.nhle.com/mugs/nhl/20242025/NSH/8476887.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
2024-2025,Frank Nazar,CHI,F,354.0,432.0,260.0,175.0,408.0,427.0,286.0,313.0,242.0,239.0,25.0,362.0,144.0,202.0,Second Line,53,841.18333333333,12,8,20,2004-01-14,USA,,69,175,2022,1,13,13,8483493.0,https://assets.nhle.com/mugs/nhl/20242025/CHI/8483493.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2024-2025,Frank Vatrano,ANA,F,110.0,404.0,164.0,,181.0,429.0,22.0,96.0,280.0,194.0,417.0,122.0,,78.0,Second Line,81,1421.1666666667,21,8,30,1994-03-14,USA,USA,71,197,-,-,-,-,8478366.0,https://assets.nhle.com/mugs/nhl/20242025/ANA/8478366.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2024-2025,Frederick Gaudreau,MIN,F,367.0,103.0,180.0,155.0,373.0,189.0,283.0,364.0,371.0,337.0,288.0,349.0,109.0,241.0,Second Line,82,1284.25,18,14,31,1993-05-01,CAN,CAN,72,184,-,-,-,-,8477919.0,https://assets.nhle.com/mugs/nhl/20242025/MIN/8477919.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
2024-2025,Gabriel Vilardi,WPG,F,129.0,108.0,45.0,,119.0,223.0,265.0,71.0,149.0,24.0,16.0,415.0,,84.0,First Line,71,1287.6666666667,27,18,25,1999-08-16,CAN,CAN,75,215,2017,1,11,11,8480014.0,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480014.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2024-2025,Gage Goncalves,TBL,F,355.0,292.0,,,348.0,209.0,415.0,337.0,229.0,121.0,226.0,196.0,,364.0,Fourth Line,60,767.61666666667,8,8,23,2001-01-16,CAN,,72,181,2020,2,31,62,8482201.0,https://assets.nhle.com/mugs/nhl/20242025/TBL/8482201.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2024-2025,Garnet Hathaway,PHI,F,287.0,21.0,,21.0,311.0,72.0,192.0,221.0,306.0,418.0,44.0,7.0,,294.0,Fourth Line,67,794.86666666667,10,5,32,1991-11-23,USA,USA,75,208,-,-,-,-,8477903.0,https://assets.nhle.com/mugs/nhl/20242025/PHI/8477903.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg
2024-2025,Gustav Nyquist,MIN,F,251.0,315.0,173.0,81.0,37.0,279.0,363.0,397.0,222.0,90.0,204.0,366.0,,196.0,Second Line,79,1331.4333333333,11,8,35,1989-09-01,SWE,SWE,71,180,2008,4,30,121,8474679.0,https://assets.nhle.com/mugs/nhl/20242025/MIN/8474679.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
2024-2025,Hendrix Lapierre,WSH,F,352.0,250.0,,,324.0,348.0,400.0,403.0,279.0,7.0,19.0,313.0,180.0,367.0,Fourth Line,27,264.5,0,3,22,2002-02-09,CAN,CAN,72,180,2020,1,22,22,,,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2024-2025,Hudson Fasching,NYI,F,306.0,53.0,,,186.0,48.0,281.0,367.0,268.0,335.0,198.0,262.0,,390.0,Fourth Line,43,476.51666666667,2,1,29,1995-07-28,USA,USA,75,204,2013,4,27,118,8477392.0,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477392.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2024-2025,Ilya Mikheyev,CHI,F,237.0,263.0,,8.0,362.0,115.0,131.0,126.0,238.0,317.0,219.0,375.0,,230.0,Second Line,80,1254.15,20,7,29,1994-10-10,RUS,RUS,74,192,-,-,-,-,8481624.0,https://assets.nhle.com/mugs/nhl/20242025/CHI/8481624.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2024-2025,Isac Lundestrom,ANA,F,426.0,175.0,,159.0,411.0,338.0,429.0,419.0,398.0,403.0,136.0,273.0,105.0,386.0,Third Line,79,1070.2333333333,4,6,24,1999-11-06,SWE,SWE,72,193,2018,1,23,23,,,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2024-2025,Ivan Barbashev,VGK,F,73.0,370.0,253.0,,77.0,301.0,317.0,81.0,26.0,113.0,79.0,148.0,,149.0,Second Line,70,1175.8833333333,23,20,28,1995-12-14,RUS,RUS,73,195,2014,2,3,33,8477964.0,https://assets.nhle.com/mugs/nhl/20242025/VGK/8477964.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
