Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL,Team URL
2022-2023,Calle Jarnkrok,TOR,F,330.0,176.0,162.0,58.0,240.0,149.0,317.0,192.0,254.0,318.0,89.0,341.0,203.0,217.0,Third Line,73,1049.9166666667,20,11,30,1991-09-25,SWE,SWE,72,192,2010,2,21,51,8475714.0,https://assets.nhle.com/mugs/nhl/20222023/TOR/8475714.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2022-2023,Carl Grundstrom,LAK,F,169.0,291.0,,,208.0,193.0,110.0,158.0,75.0,341.0,409.0,27.0,,336.0,Fourth Line,57,612.86666666667,12,5,24,1997-12-01,SWE,SWE,72,195,2016,2,27,57,8479336.0,https://assets.nhle.com/mugs/nhl/20222023/LAK/8479336.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2022-2023,Carter Verhaeghe,FLA,F,16.0,301.0,101.0,,2.0,216.0,42.0,24.0,174.0,117.0,304.0,379.0,,70.0,Second Line,81,1417.6666666667,42,14,27,1995-08-14,CAN,CAN,74,180,2013,3,21,82,8477409.0,https://assets.nhle.com/mugs/nhl/20222023/FLA/8477409.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2022-2023,Casey Cizikas,NYI,F,405.0,152.0,,42.0,428.0,179.0,372.0,408.0,448.0,366.0,307.0,81.0,24.0,351.0,Third Line,81,1177.45,6,10,31,1991-02-27,CAN,CAN,71,190,2009,4,1,92,8475231.0,https://assets.nhle.com/mugs/nhl/20222023/NYI/8475231.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2022-2023,Casey Mittelstadt,BUF,F,222.0,284.0,160.0,,226.0,231.0,271.0,313.0,195.0,124.0,142.0,417.0,109.0,185.0,Second Line,82,1289.7166666667,15,26,23,1998-11-22,USA,USA,73,195,2017,1,8,8,8479999.0,https://assets.nhle.com/mugs/nhl/20222023/BUF/8479999.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
2022-2023,Chandler Stephenson,VGK,F,204.0,199.0,112.0,62.0,110.0,289.0,420.0,277.0,124.0,105.0,162.0,314.0,22.0,123.0,First Line,81,1540.3833333333,16,28,28,1994-04-22,CAN,CAN,72,209,2012,3,16,77,8476905.0,https://assets.nhle.com/mugs/nhl/20222023/VGK/8476905.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
2022-2023,Charlie Coyle,BOS,F,243.0,163.0,260.0,11.0,187.0,209.0,346.0,327.0,386.0,219.0,128.0,270.0,58.0,199.0,Second Line,82,1392.8833333333,16,16,30,1992-03-02,USA,USA,75,223,2010,1,28,28,8475745.0,https://assets.nhle.com/mugs/nhl/20222023/BOS/8475745.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2022-2023,Chris Kreider,NYR,F,178.0,227.0,24.0,122.0,206.0,153.0,62.0,5.0,301.0,221.0,344.0,150.0,,58.0,First Line,79,1454.6333333333,36,13,31,1991-04-30,USA,USA,75,230,2009,1,19,19,8475184.0,https://assets.nhle.com/mugs/nhl/20222023/NYR/8475184.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2022-2023,Chris Tierney,MTL,F,444.0,300.0,286.0,212.0,402.0,370.0,453.0,448.0,364.0,390.0,374.0,347.0,94.0,402.0,Fourth Line,36,391.06666666667,3,4,28,1994-07-01,CAN,CAN,73,191,2012,2,25,55,8476919.0,https://assets.nhle.com/mugs/nhl/20222023/MTL/8476919.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2022-2023,Chris Tierney,FLA,F,444.0,300.0,286.0,212.0,402.0,370.0,453.0,448.0,364.0,390.0,374.0,347.0,94.0,402.0,Fourth Line,36,391.06666666667,3,4,28,1994-07-01,CAN,CAN,73,191,2012,2,25,55,8476919.0,https://assets.nhle.com/mugs/nhl/20222023/FLA/8476919.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2022-2023,Christian Dvorak,MTL,F,383.0,408.0,167.0,89.0,314.0,445.0,404.0,280.0,400.0,299.0,187.0,416.0,25.0,193.0,Second Line,64,1079.0833333333,10,6,26,1996-02-02,USA,USA,73,193,2014,2,28,58,8477989.0,https://assets.nhle.com/mugs/nhl/20222023/MTL/8477989.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2022-2023,Christian Fischer,ARI,F,374.0,415.0,,139.0,417.0,393.0,333.0,391.0,372.0,327.0,117.0,100.0,204.0,345.0,Third Line,80,1187.5833333333,13,11,25,1997-04-15,USA,USA,74,212,2015,2,2,32,8478432.0,https://assets.nhle.com/mugs/nhl/20222023/ARI/8478432.png,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
2022-2023,Claude Giroux,OTT,F,85.0,206.0,56.0,183.0,36.0,144.0,125.0,131.0,154.0,81.0,88.0,315.0,4.0,65.0,First Line,82,1541.2666666667,35,27,34,1988-01-12,CAN,CAN,71,190,2006,1,22,22,8473512.0,https://assets.nhle.com/mugs/nhl/20222023/OTT/8473512.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2022-2023,Clayton Keller,ARI,F,144.0,331.0,116.0,199.0,254.0,307.0,151.0,107.0,258.0,49.0,83.0,440.0,,54.0,First Line,82,1701.5166666667,37,38,24,1998-07-29,USA,USA,70,178,2016,1,7,7,8479343.0,https://assets.nhle.com/mugs/nhl/20222023/ARI/8479343.png,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
2022-2023,Cody Glass,NSH,F,296.0,80.0,188.0,,239.0,117.0,348.0,252.0,164.0,225.0,236.0,337.0,144.0,264.0,Third Line,72,1063.2333333333,14,10,23,1999-04-01,CAN,CAN,75,206,2017,1,6,6,8479996.0,https://assets.nhle.com/mugs/nhl/20222023/NSH/8479996.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
2022-2023,Cole Caufield,MTL,F,201.0,442.0,181.0,,342.0,422.0,32.0,29.0,125.0,313.0,33.0,432.0,,81.0,First Line,46,830.28333333333,26,2,21,2001-01-02,USA,USA,67,174,2019,1,15,15,8481540.0,https://assets.nhle.com/mugs/nhl/20222023/MTL/8481540.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2022-2023,Cole Perfetti,WPG,F,189.0,185.0,198.0,,137.0,205.0,239.0,285.0,32.0,142.0,412.0,326.0,,200.0,Third Line,51,763.43333333333,8,11,20,2002-01-01,CAN,CAN,71,184,2020,1,10,10,8482149.0,https://assets.nhle.com/mugs/nhl/20222023/WPG/8482149.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2022-2023,Cole Sillinger,CBJ,F,316.0,333.0,273.0,,361.0,388.0,197.0,307.0,84.0,340.0,415.0,135.0,149.0,312.0,Fourth Line,64,851.78333333333,3,5,19,2003-05-16,USA,USA,73,201,2021,1,12,12,8482705.0,https://assets.nhle.com/mugs/nhl/20222023/CBJ/8482705.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2022-2023,Cole Smith,NSH,F,389.0,323.0,,104.0,368.0,332.0,437.0,437.0,428.0,249.0,335.0,33.0,,426.0,Fourth Line,69,879.23333333333,4,10,26,1995-10-28,USA,USA,75,195,-,-,-,-,8482062.0,https://assets.nhle.com/mugs/nhl/20222023/NSH/8482062.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
2022-2023,Colin Blackwell,CHI,F,402.0,263.0,289.0,149.0,421.0,240.0,351.0,376.0,341.0,310.0,10.0,156.0,,368.0,Fourth Line,53,625.45,2,7,29,1993-03-28,USA,USA,69,190,2011,7,13,193,8476278.0,https://assets.nhle.com/mugs/nhl/20222023/CHI/8476278.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2022-2023,Colin White,FLA,F,368.0,110.0,293.0,,283.0,71.0,266.0,266.0,224.0,295.0,267.0,176.0,191.0,324.0,Fourth Line,68,655.2,8,5,25,1997-01-30,USA,USA,73,194,2015,1,21,21,8478400.0,https://assets.nhle.com/mugs/nhl/20222023/FLA/8478400.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2022-2023,Colton Sissons,NSH,F,421.0,239.0,,83.0,316.0,288.0,441.0,414.0,423.0,404.0,250.0,108.0,19.0,323.0,Second Line,82,1297.85,12,5,28,1993-11-05,CAN,CAN,73,200,2012,2,20,50,8476925.0,https://assets.nhle.com/mugs/nhl/20222023/NSH/8476925.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
2022-2023,Connor Dewar,MIN,F,338.0,3.0,,153.0,390.0,14.0,253.0,423.0,394.0,320.0,70.0,90.0,143.0,390.0,Fourth Line,81,887.91666666667,6,6,23,1999-06-26,CAN,CAN,70,183,2018,3,30,92,8480980.0,https://assets.nhle.com/mugs/nhl/20222023/MIN/8480980.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
2022-2023,Connor McDavid,EDM,F,7.0,190.0,1.0,161.0,10.0,166.0,28.0,3.0,73.0,1.0,6.0,313.0,50.0,1.0,First Line,82,1835.6166666667,64,60,25,1997-01-13,CAN,CAN,73,193,2015,1,1,1,8478402.0,https://assets.nhle.com/mugs/nhl/20222023/EDM/8478402.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2022-2023,Conor Garland,VAN,F,75.0,204.0,132.0,,158.0,191.0,91.0,172.0,209.0,87.0,8.0,355.0,,130.0,Third Line,81,1224.2166666667,17,13,26,1996-03-11,USA,USA,70,165,2015,5,2,123,8478856.0,https://assets.nhle.com/mugs/nhl/20222023/VAN/8478856.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2022-2023,Conor Sheary,WSH,F,172.0,196.0,159.0,180.0,155.0,284.0,205.0,171.0,69.0,222.0,99.0,338.0,,194.0,Second Line,82,1292.7666666667,15,14,30,1992-06-08,USA,USA,69,179,-,-,-,-,8477839.0,https://assets.nhle.com/mugs/nhl/20222023/WSH/8477839.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2022-2023,Corey Perry,TBL,F,239.0,131.0,115.0,,194.0,35.0,182.0,145.0,185.0,212.0,188.0,224.0,,281.0,Fourth Line,81,936.55,12,7,37,1985-05-16,CAN,CAN,75,208,2003,1,28,28,8470621.0,https://assets.nhle.com/mugs/nhl/20222023/TBL/8470621.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2022-2023,Craig Smith,BOS,F,97.0,174.0,252.0,,125.0,139.0,55.0,169.0,230.0,269.0,342.0,193.0,,225.0,Fourth Line,64,703.98333333333,9,1,32,1989-09-05,USA,USA,72,204,2009,4,7,98,8475225.0,https://assets.nhle.com/mugs/nhl/20222023/BOS/8475225.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2022-2023,Craig Smith,WSH,F,97.0,174.0,252.0,,125.0,139.0,55.0,169.0,230.0,269.0,342.0,193.0,,225.0,Fourth Line,64,703.98333333333,9,1,32,1989-09-05,USA,USA,72,204,2009,4,7,98,8475225.0,https://assets.nhle.com/mugs/nhl/20222023/WSH/8475225.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2022-2023,Curtis Lazar,NJD,F,406.0,19.0,,147.0,380.0,111.0,343.0,385.0,417.0,438.0,243.0,32.0,66.0,376.0,Fourth Line,49,584.56666666667,3,1,27,1995-02-02,CAN,CAN,72,203,2013,1,17,17,8477508.0,https://assets.nhle.com/mugs/nhl/20222023/NJD/8477508.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2022-2023,Curtis Lazar,VAN,F,406.0,19.0,,147.0,380.0,111.0,343.0,385.0,417.0,438.0,243.0,32.0,66.0,376.0,Fourth Line,49,584.56666666667,3,1,27,1995-02-02,CAN,CAN,72,203,2013,1,17,17,8477508.0,https://assets.nhle.com/mugs/nhl/20222023/VAN/8477508.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2022-2023,Dakota Joshua,VAN,F,262.0,129.0,,156.0,245.0,170.0,353.0,220.0,306.0,259.0,227.0,15.0,,400.0,Fourth Line,79,910.2,11,5,26,1996-05-15,USA,USA,75,206,2014,5,8,128,8478057.0,https://assets.nhle.com/mugs/nhl/20222023/VAN/8478057.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2022-2023,Daniel Sprong,SEA,F,34.0,179.0,218.0,,153.0,103.0,11.0,43.0,29.0,76.0,270.0,308.0,,160.0,Fourth Line,66,753.65,21,19,25,1997-03-17,NLD,NLD,72,202,2015,2,16,46,8478466.0,https://assets.nhle.com/mugs/nhl/20222023/SEA/8478466.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg
2022-2023,Danton Heinen,PIT,F,103.0,55.0,288.0,206.0,142.0,118.0,133.0,176.0,297.0,175.0,260.0,177.0,,265.0,Fourth Line,65,699.23333333333,8,9,27,1995-07-05,CAN,CAN,73,188,2014,4,26,116,8478046.0,https://assets.nhle.com/mugs/nhl/20222023/PIT/8478046.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2022-2023,David Gustafsson,WPG,F,366.0,144.0,,100.0,407.0,161.0,378.0,457.0,389.0,254.0,139.0,302.0,160.0,448.0,Fourth Line,46,464.48333333333,0,5,22,2000-04-11,SWE,SWE,74,212,2018,2,29,60,8481019.0,https://assets.nhle.com/mugs/nhl/20222023/WPG/8481019.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2022-2023,David Kampf,TOR,F,370.0,158.0,,27.0,302.0,136.0,416.0,429.0,441.0,345.0,143.0,256.0,40.0,357.0,Third Line,82,1255.2166666667,7,10,27,1995-01-12,CZE,CZE,74,197,-,-,-,-,8480144.0,https://assets.nhle.com/mugs/nhl/20222023/TOR/8480144.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2022-2023,David Krejci,BOS,F,164.0,147.0,180.0,,205.0,105.0,370.0,341.0,35.0,18.0,323.0,387.0,132.0,126.0,Second Line,70,1203.6166666667,16,25,36,1986-04-28,CZE,CZE,72,192,2004,2,33,63,8471276.0,https://assets.nhle.com/mugs/nhl/20222023/BOS/8471276.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2022-2023,David Pastrnak,BOS,F,5.0,207.0,11.0,,86.0,42.0,1.0,2.0,9.0,15.0,43.0,296.0,,5.0,First Line,82,1604.2833333333,61,31,26,1996-05-25,CZE,CZE,73,195,2014,1,25,25,8477956.0,https://assets.nhle.com/mugs/nhl/20222023/BOS/8477956.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2022-2023,David Perron,DET,F,240.0,217.0,43.0,,272.0,189.0,92.0,97.0,332.0,132.0,271.0,212.0,,84.0,Second Line,82,1387.3166666667,24,20,34,1988-05-28,CAN,CAN,73,196,2007,1,26,26,8474102.0,https://assets.nhle.com/mugs/nhl/20222023/DET/8474102.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2022-2023,Dawson Mercer,NJD,F,127.0,374.0,182.0,178.0,112.0,266.0,243.0,142.0,149.0,106.0,241.0,420.0,202.0,181.0,Second Line,82,1357.95,27,19,20,2001-10-27,CAN,CAN,72,180,2020,1,18,18,8482110.0,https://assets.nhle.com/mugs/nhl/20222023/NJD/8482110.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2022-2023,Denis Gurianov,MTL,F,209.0,381.0,137.0,,315.0,338.0,112.0,312.0,212.0,198.0,220.0,261.0,,251.0,Fourth Line,66,870.95,7,8,25,1997-06-07,RUS,RUS,75,205,2015,1,12,12,8478495.0,https://assets.nhle.com/mugs/nhl/20222023/MTL/8478495.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2022-2023,Denis Gurianov,DAL,F,209.0,381.0,137.0,,315.0,338.0,112.0,312.0,212.0,198.0,220.0,261.0,,251.0,Fourth Line,66,870.95,7,8,25,1997-06-07,RUS,RUS,75,205,2015,1,12,12,8478495.0,https://assets.nhle.com/mugs/nhl/20222023/DAL/8478495.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2022-2023,Denis Malgin,COL,F,118.0,148.0,,,131.0,148.0,83.0,137.0,314.0,344.0,165.0,169.0,,307.0,Fourth Line,65,709.76666666667,13,5,25,1997-01-18,CHE,CHE,69,182,2015,4,11,102,8478843.0,https://assets.nhle.com/mugs/nhl/20222023/COL/8478843.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2022-2023,Denis Malgin,TOR,F,118.0,148.0,,,131.0,148.0,83.0,137.0,314.0,344.0,165.0,169.0,,307.0,Fourth Line,65,709.76666666667,13,5,25,1997-01-18,CHE,CHE,69,182,2015,4,11,102,8478843.0,https://assets.nhle.com/mugs/nhl/20222023/TOR/8478843.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2022-2023,Derek Grant,ANA,F,282.0,417.0,,81.0,415.0,447.0,270.0,303.0,451.0,280.0,425.0,230.0,42.0,244.0,Third Line,46,682.9,5,8,32,1990-04-20,CAN,CAN,75,210,2008,4,28,119,8474683.0,https://assets.nhle.com/mugs/nhl/20222023/ANA/8474683.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2022-2023,Derek Ryan,EDM,F,261.0,4.0,,39.0,182.0,10.0,374.0,293.0,370.0,336.0,266.0,301.0,46.0,370.0,Fourth Line,80,893.28333333333,13,4,35,1986-12-29,USA,USA,70,185,-,-,-,-,8478585.0,https://assets.nhle.com/mugs/nhl/20222023/EDM/8478585.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2022-2023,Derek Stepan,CAR,F,43.0,5.0,295.0,,30.0,7.0,85.0,260.0,79.0,186.0,338.0,300.0,33.0,348.0,Fourth Line,73,662.88333333333,5,5,32,1990-06-18,USA,USA,71,196,2008,2,21,51,8474613.0,https://assets.nhle.com/mugs/nhl/20222023/CAR/8474613.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2022-2023,Derick Brassard,OTT,F,326.0,324.0,92.0,,262.0,224.0,269.0,186.0,318.0,227.0,411.0,110.0,59.0,301.0,Fourth Line,62,755.18333333333,13,8,34,1987-09-22,CAN,CAN,73,200,2006,1,6,6,8473544.0,https://assets.nhle.com/mugs/nhl/20222023/OTT/8473544.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2022-2023,Devin Shore,EDM,F,357.0,87.0,,214.0,330.0,225.0,428.0,428.0,259.0,248.0,185.0,107.0,174.0,432.0,Fringe,47,421.35,1,6,28,1994-07-19,CAN,CAN,73,206,2012,2,31,61,8476913.0,https://assets.nhle.com/mugs/nhl/20222023/EDM/8476913.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2022-2023,Dillon Dube,CGY,F,167.0,219.0,144.0,106.0,122.0,145.0,165.0,156.0,104.0,253.0,200.0,145.0,,216.0,Third Line,82,1243.2,18,14,24,1998-07-20,CAN,CAN,71,185,2016,2,26,56,8479346.0,https://assets.nhle.com/mugs/nhl/20222023/CGY/8479346.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2022-2023,Dominik Kubalik,DET,F,314.0,349.0,85.0,,394.0,342.0,86.0,124.0,242.0,223.0,116.0,200.0,,158.0,Third Line,81,1208.0,20,17,27,1995-08-21,CZE,CZE,74,190,2013,7,10,191,8477330.0,https://assets.nhle.com/mugs/nhl/20222023/DET/8477330.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2022-2023,Drake Batherson,OTT,F,82.0,360.0,31.0,,124.0,360.0,97.0,96.0,17.0,37.0,273.0,165.0,,75.0,First Line,82,1525.7,22,25,24,1998-04-27,USA,USA,75,200,2017,4,28,121,8480208.0,https://assets.nhle.com/mugs/nhl/20222023/OTT/8480208.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2022-2023,Drew O'Connor,PIT,F,78.0,68.0,,,60.0,41.0,74.0,198.0,358.0,364.0,305.0,153.0,,366.0,Fourth Line,46,451.51666666667,5,3,24,1998-06-09,USA,USA,75,200,-,-,-,-,8482055.0,https://assets.nhle.com/mugs/nhl/20222023/PIT/8482055.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2022-2023,Dryden Hunt,TOR,F,429.0,126.0,,,409.0,57.0,363.0,372.0,170.0,442.0,82.0,12.0,,445.0,Fringe,37,298.71666666667,3,0,26,1995-11-24,CAN,CAN,72,193,-,-,-,-,8478211.0,https://assets.nhle.com/mugs/nhl/20222023/TOR/8478211.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2022-2023,Dryden Hunt,COL,F,429.0,126.0,,,409.0,57.0,363.0,372.0,170.0,442.0,82.0,12.0,,445.0,Fringe,37,298.71666666667,3,0,26,1995-11-24,CAN,CAN,72,193,-,-,-,-,8478211.0,https://assets.nhle.com/mugs/nhl/20222023/COL/8478211.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2022-2023,Dryden Hunt,NYR,F,429.0,126.0,,,409.0,57.0,363.0,372.0,170.0,442.0,82.0,12.0,,445.0,Fringe,37,298.71666666667,3,0,26,1995-11-24,CAN,CAN,72,193,-,-,-,-,8478211.0,https://assets.nhle.com/mugs/nhl/20222023/NYR/8478211.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2022-2023,Dylan Cozens,BUF,F,119.0,383.0,155.0,186.0,192.0,384.0,126.0,133.0,135.0,100.0,125.0,349.0,101.0,128.0,Second Line,81,1336.25,31,21,21,2001-02-09,CAN,CAN,75,195,2019,1,7,7,8481528.0,https://assets.nhle.com/mugs/nhl/20222023/BUF/8481528.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
2022-2023,Dylan Gambrell,OTT,F,449.0,120.0,,56.0,434.0,263.0,440.0,451.0,420.0,427.0,369.0,134.0,106.0,422.0,Fourth Line,60,683.33333333333,4,5,26,1996-08-26,USA,USA,71,185,2016,2,30,60,8479580.0,https://assets.nhle.com/mugs/nhl/20222023/OTT/8479580.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2022-2023,Dylan Guenther,ARI,F,399.0,435.0,211.0,,423.0,427.0,211.0,270.0,331.0,361.0,445.0,348.0,,254.0,Fourth Line,33,432.7,6,3,19,2003-04-10,CAN,CAN,74,175,2021,1,9,9,8482699.0,https://assets.nhle.com/mugs/nhl/20222023/ARI/8482699.png,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
2022-2023,Dylan Holloway,EDM,F,369.0,98.0,,,212.0,68.0,386.0,415.0,120.0,403.0,151.0,67.0,,447.0,Fourth Line,51,488.85,3,2,20,2001-09-23,CAN,CAN,73,203,2020,1,14,14,8482077.0,https://assets.nhle.com/mugs/nhl/20222023/EDM/8482077.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2022-2023,Dylan Larkin,DET,F,74.0,395.0,88.0,174.0,172.0,366.0,70.0,82.0,223.0,61.0,158.0,333.0,37.0,42.0,First Line,80,1564.45,32,24,26,1996-07-30,USA,USA,73,198,2014,1,15,15,8477946.0,https://assets.nhle.com/mugs/nhl/20222023/DET/8477946.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2022-2023,Dylan Strome,WSH,F,186.0,281.0,107.0,,132.0,352.0,255.0,141.0,12.0,121.0,365.0,443.0,70.0,121.0,Second Line,81,1351.65,23,24,25,1997-03-07,CAN,CAN,75,200,2015,1,3,3,8478440.0,https://assets.nhle.com/mugs/nhl/20222023/WSH/8478440.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2022-2023,Eeli Tolvanen,NSH,F,273.0,21.0,118.0,,261.0,59.0,131.0,183.0,216.0,342.0,254.0,103.0,,189.0,Third Line,61,885.5,18,7,23,1999-04-22,FIN,FIN,70,191,2017,1,30,30,8480009.0,https://assets.nhle.com/mugs/nhl/20222023/NSH/8480009.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
2022-2023,Eeli Tolvanen,SEA,F,273.0,21.0,118.0,,261.0,59.0,131.0,183.0,216.0,342.0,254.0,103.0,,189.0,Third Line,61,885.5,18,7,23,1999-04-22,FIN,FIN,70,191,2017,1,30,30,8480009.0,https://assets.nhle.com/mugs/nhl/20222023/SEA/8480009.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg
2022-2023,Eetu Luostarinen,FLA,F,215.0,61.0,251.0,53.0,74.0,87.0,390.0,329.0,260.0,312.0,86.0,208.0,117.0,270.0,Second Line,82,1310.8333333333,17,11,23,1998-09-02,FIN,FIN,75,190,2017,2,11,42,8480185.0,https://assets.nhle.com/mugs/nhl/20222023/FLA/8480185.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2022-2023,Elias Lindholm,CGY,F,95.0,60.0,48.0,36.0,50.0,53.0,153.0,81.0,248.0,92.0,153.0,281.0,18.0,59.0,First Line,80,1492.1166666667,22,25,27,1994-12-02,SWE,SWE,73,202,2013,1,5,5,8477496.0,https://assets.nhle.com/mugs/nhl/20222023/CGY/8477496.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2022-2023,Elias Pettersson,VAN,F,145.0,93.0,41.0,182.0,183.0,207.0,93.0,48.0,64.0,56.0,3.0,360.0,110.0,17.0,First Line,80,1644.3833333333,39,37,23,1998-11-12,SWE,SWE,74,176,2017,1,5,5,8480012.0,https://assets.nhle.com/mugs/nhl/20222023/VAN/8480012.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2022-2023,Elmer Soderblom,DET,F,365.0,17.0,,,349.0,61.0,259.0,125.0,156.0,443.0,331.0,191.0,,280.0,Fourth Line,21,253.53333333333,5,1,21,2001-07-05,SWE,SWE,80,246,2019,6,4,159,8481725.0,https://assets.nhle.com/mugs/nhl/20222023/DET/8481725.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2022-2023,Emil Bemstrom,CBJ,F,235.0,245.0,250.0,,269.0,264.0,117.0,225.0,201.0,349.0,91.0,307.0,,306.0,Fourth Line,55,665.96666666667,7,7,23,1999-06-01,SWE,SWE,72,195,2017,4,24,117,8480205.0,https://assets.nhle.com/mugs/nhl/20222023/CBJ/8480205.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2022-2023,Eric Robinson,CBJ,F,278.0,409.0,,30.0,353.0,404.0,288.0,289.0,430.0,262.0,145.0,119.0,,304.0,Third Line,72,1004.25,12,6,27,1995-06-14,USA,USA,74,205,-,-,-,-,8480762.0,https://assets.nhle.com/mugs/nhl/20222023/CBJ/8480762.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2022-2023,Eric Staal,FLA,F,281.0,314.0,275.0,170.0,169.0,304.0,313.0,325.0,241.0,352.0,393.0,405.0,140.0,316.0,Third Line,72,1025.0666666667,14,9,37,1984-10-29,CAN,CAN,76,195,2003,1,2,2,8470595.0,https://assets.nhle.com/mugs/nhl/20222023/FLA/8470595.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2022-2023,Erik Haula,NJD,F,148.0,140.0,150.0,138.0,103.0,84.0,208.0,211.0,131.0,194.0,390.0,175.0,31.0,196.0,Second Line,80,1330.4833333333,14,15,31,1991-03-23,FIN,FIN,71,191,2009,7,1,182,8475287.0,https://assets.nhle.com/mugs/nhl/20222023/NJD/8475287.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2022-2023,Evan Rodrigues,COL,F,72.0,91.0,219.0,,70.0,55.0,56.0,175.0,183.0,166.0,104.0,323.0,81.0,134.0,Second Line,69,1232.0833333333,16,14,29,1993-07-28,CAN,CAN,71,184,-,-,-,-,8478542.0,https://assets.nhle.com/mugs/nhl/20222023/COL/8478542.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
